Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-01,1.69468,0.0976
2015-01-02,1.69779,0.09091
2015-01-03,1.7009,0.08486
2015-01-04,1.70402,0.07961
2015-01-05,1.70713,0.07531
2015-01-06,1.71024,0.07215
2015-01-07,1.71335,0.07027
2015-01-08,1.71647,0.06977
2015-01-09,1.71958,0.0707
2015-01-10,1.72269,0.07298
2015-01-11,1.7258,0.07651
2015-01-12,1.72892,0.08111
2015-01-13,1.73203,0.08662
2015-01-14,1.73514,0.09288
2015-01-15,1.73825,0.09974
2015-01-16,1.73127,0.07419
2015-01-17,1.72428,0.07373
2015-01-18,1.7173,0.09871
2015-01-19,1.71803,0.09087
2015-01-20,1.71877,0.08391
2015-01-21,1.7195,0.07808
2015-01-22,1.72024,0.07366
2015-01-23,1.72097,0.0709
2015-01-24,1.72171,0.07
2015-01-25,1.72245,0.07103
2015-01-26,1.72318,0.07391
2015-01-27,1.72392,0.07844
2015-01-28,1.72465,0.08435
2015-01-29,1.72539,0.09137
2015-01-30,1.72613,0.09928
2015-01-31,1.72778,0.07027
2015-02-01,1.72944,0.09947
2015-02-02,1.73033,0.09264
2015-02-03,1.73123,0.08646
2015-02-04,1.73213,0.08106
2015-02-05,1.73303,0.07661
2015-02-06,1.73392,0.07329
2015-02-07,1.73482,0.07126
2015-02-08,1.73572,0.07063
2015-02-09,1.73661,0.07143
2015-02-10,1.73751,0.07361
2015-02-11,1.73841,0.07707
2015-02-12,1.7393,0.08163
2015-02-13,1.7402,0.08713
2015-02-14,1.7411,0.0934
2015-02-15,1.74199,0.10029
2015-02-16,1.74205,0.0934
2015-02-17,1.7421,0.08715
2015-02-18,1.74215,0.08168
2015-02-19,1.74221,0.07716
2015-02-20,1.74226,0.07376
2015-02-21,1.74231,0.07164
2015-02-22,1.74236,0.07092
2015-02-23,1.74242,0.07165
2015-02-24,1.74247,0.07377
2015-02-25,1.74252,0.07717
2015-02-26,1.74258,0.0817
2015-02-27,1.74263,0.08717
2015-02-28,1.74268,0.09343
2015-03-01,1.74274,0.10032
2015-03-02,1.74199,0.09342
2015-03-03,1.74124,0.08715
2015-03-04,1.7405,0.08166
2015-03-05,1.73975,0.0771
2015-03-06,1.73901,0.07365
2015-03-07,1.73826,0.07147
2015-03-08,1.73751,0.07067
2015-03-09,1.73677,0.07132
2015-03-10,1.73602,0.07336
2015-03-11,1.73528,0.07669
2015-03-12,1.73453,0.08114
2015-03-13,1.73379,0.08655
2015-03-14,1.73304,0.09274
2015-03-15,1.73229,0.09958
2015-03-16,1.73251,0.09391
2015-03-17,1.73272,0.08864
2015-03-18,1.73294,0.08387
2015-03-19,1.73315,0.07968
2015-03-20,1.73336,0.07617
2015-03-21,1.73358,0.07343
2015-03-22,1.73379,0.07154
2015-03-23,1.734,0.07059
2015-03-24,1.73422,0.0706
2015-03-25,1.73443,0.07159
2015-03-26,1.73465,0.0735
2015-03-27,1.73486,0.07626
2015-03-28,1.73507,0.0798
2015-03-29,1.73529,0.08401
2015-03-30,1.7355,0.0888
2015-03-31,1.73572,0.09407
2015-04-01,1.73593,0.09976
2015-04-02,1.73761,0.09291
2015-04-03,1.73929,0.08672
2015-04-04,1.74097,0.08132
2015-04-05,1.74265,0.07689
2015-04-06,1.74433,0.07361
2015-04-07,1.74601,0.07162
2015-04-08,1.74769,0.07104
2015-04-09,1.74937,0.0719
2015-04-10,1.75105,0.07415
2015-04-11,1.75273,0.07768
2015-04-12,1.75442,0.08231
2015-04-13,1.7561,0.08788
2015-04-14,1.75778,0.09421
2015-04-15,1.75946,0.10117
2015-04-16,1.76144,0.09506
2015-04-17,1.76343,0.08945
2015-04-18,1.76542,0.08444
2015-04-19,1.76741,0.08012
2015-04-20,1.76939,0.07664
2015-04-21,1.77138,0.07409
2015-04-22,1.77337,0.07258
2015-04-23,1.77536,0.07218
2015-04-24,1.77734,0.0729
2015-04-25,1.77933,0.07471
2015-04-26,1.78132,0.07754
2015-04-27,1.78331,0.08127
2015-04-28,1.78529,0.0858
2015-04-29,1.78728,0.09099
2015-04-30,1.78927,0.09675
2015-05-01,1.79126,0.10298
2015-05-02,1.79314,0.09592
2015-05-03,1.79501,0.08952
2015-05-04,1.79689,0.08396
2015-05-05,1.79877,0.07939
2015-05-06,1.80065,0.076
2015-05-07,1.80253,0.07395
2015-05-08,1.8044,0.07336
2015-05-09,1.80628,0.07426
2015-05-10,1.80816,0.07659
2015-05-11,1.81004,0.08023
2015-05-12,1.81192,0.08502
2015-05-13,1.81379,0.09077
2015-05-14,1.81567,0.09732
2015-05-15,1.81755,0.1045
2015-05-16,1.81957,0.09464
2015-05-17,1.82159,0.08623
2015-05-18,1.82362,0.07973
2015-05-19,1.82564,0.07562
2015-05-20,1.82766,0.07431
2015-05-21,1.82968,0.07595
2015-05-22,1.8317,0.08035
2015-05-23,1.83372,0.08709
2015-05-24,1.83574,0.09569
2015-05-25,1.83776,0.10568
2015-05-26,1.83909,0.08714
2015-05-27,1.84042,0.07617
2015-05-28,1.84175,0.07611
2015-05-29,1.84308,0.087
2015-05-30,1.84441,0.10549
2015-05-31,1.84754,0.07474
2015-06-01,1.85066,0.1059
2015-06-02,1.85132,0.0959
2015-06-03,1.85197,0.08735
2015-06-04,1.85262,0.08071
2015-06-05,1.85328,0.07647
2015-06-06,1.85393,0.07505
2015-06-07,1.85459,0.07661
2015-06-08,1.85524,0.08096
2015-06-09,1.8559,0.08771
2015-06-10,1.85655,0.09633
2015-06-11,1.85721,0.10639
2015-06-12,1.85761,0.08413
2015-06-13,1.85801,0.07532
2015-06-14,1.85842,0.0843
2015-06-15,1.85882,0.10666
2015-06-16,1.85768,0.10664
2015-06-17,1.85387,0.09264
2015-06-18,1.85006,0.0819
2015-06-19,1.84625,0.07584
2015-06-20,1.84244,0.07559
2015-06-21,1.83863,0.08119
2015-06-22,1.83482,0.09159
2015-06-23,1.831,0.10536
2015-06-24,1.8238,0.09307
2015-06-25,1.8166,0.08302
2015-06-26,1.8094,0.07612
2015-06-27,1.8022,0.07327
2015-06-28,1.79499,0.07492
2015-06-29,1.78779,0.0808
2015-06-30,1.78059,0.09008
2015-07-01,1.77339,0.10184
2015-07-02,1.7671,0.08039
2015-07-03,1.76081,0.07147
2015-07-04,1.75453,0.07942
2015-07-05,1.74824,0.1003
2015-07-06,1.74314,0.07461
2015-07-07,1.73804,0.07417
2015-07-08,1.73294,0.0993
2015-07-09,1.72832,0.08624
2015-07-10,1.72371,0.07617
2015-07-11,1.71909,0.07039
2015-07-12,1.71448,0.06996
2015-07-13,1.70986,0.07499
2015-07-14,1.70525,0.0845
2015-07-15,1.70064,0.09718
2015-07-16,1.69647,0.06852
2015-07-17,1.6923,0.09662
2015-07-18,1.68913,0.06823
2015-07-19,1.68596,0.09635
2015-07-20,1.68345,0.08724
2015-07-21,1.68094,0.0794
2015-07-22,1.67842,0.07326
2015-07-23,1.67591,0.06927
2015-07-24,1.6734,0.06779
2015-07-25,1.67088,0.069
2015-07-26,1.66837,0.07276
2015-07-27,1.66586,0.07871
2015-07-28,1.66334,0.08639
2015-07-29,1.66083,0.09539
2015-07-30,1.65952,0.0953
2015-07-31,1.6581,0.06732
2015-08-01,1.65669,0.09511
2015-08-02,1.65605,0.08519
2015-08-03,1.6554,0.0769
2015-08-04,1.65476,0.07082
2015-08-05,1.65411,0.06753
2015-08-06,1.65347,0.06746
2015-08-07,1.65283,0.0706
2015-08-08,1.65218,0.07657
2015-08-09,1.65154,0.08477
2015-08-10,1.65089,0.09462
2015-08-11,1.65021,0.07802
2015-08-12,1.64952,0.0682
2015-08-13,1.64883,0.06815
2015-08-14,1.64814,0.0779
2015-08-15,1.64745,0.09446
2015-08-16,1.64745,0.08028
2015-08-17,1.64746,0.07042
2015-08-18,1.64746,0.06683
2015-08-19,1.64746,0.07046
2015-08-20,1.64747,0.08035
2015-08-21,1.64747,0.09456
2015-08-22,1.64983,0.09471
2015-08-23,1.65132,0.08578
2015-08-24,1.65281,0.07815
2015-08-25,1.6543,0.07225
2015-08-26,1.65579,0.06852
2015-08-27,1.65728,0.06733
2015-08-28,1.65876,0.0688
2015-08-29,1.66025,0.07277
2015-08-30,1.66174,0.07888
2015-08-31,1.66323,0.08666
2015-09-01,1.66472,0.09571
2015-09-02,1.66194,0.08743
2015-09-03,1.65916,0.08015
2015-09-04,1.65639,0.07418
2015-09-05,1.65361,0.06985
2015-09-06,1.65083,0.06747
2015-09-07,1.64806,0.06725
2015-09-08,1.64528,0.06921
2015-09-09,1.6425,0.07318
2015-09-10,1.63973,0.07886
2015-09-11,1.63695,0.08591
2015-09-12,1.63417,0.09401
2015-09-13,1.63394,0.07007
2015-09-14,1.63371,0.07006
2015-09-15,1.63348,0.09399
2015-09-16,1.63234,0.08651
2015-09-17,1.63121,0.07986
2015-09-18,1.63007,0.07426
2015-09-19,1.62893,0.06996
2015-09-20,1.62779,0.06723
2015-09-21,1.62666,0.06624
2015-09-22,1.62552,0.06708
2015-09-23,1.62438,0.06968
2015-09-24,1.62324,0.07385
2015-09-25,1.62211,0.07936
2015-09-26,1.62097,0.08593
2015-09-27,1.61983,0.09336
2015-09-28,1.62332,0.07387
2015-09-29,1.6268,0.06631
2015-09-30,1.63029,0.07441
2015-10-01,1.63378,0.0942
2015-10-02,1.63848,0.08331
2015-10-03,1.64319,0.07466
2015-10-04,1.64789,0.06912
2015-10-05,1.6526,0.06746
2015-10-06,1.6573,0.06994
2015-10-07,1.66201,0.07617
2015-10-08,1.66672,0.08532
2015-10-09,1.67142,0.09658
2015-10-10,1.67443,0.08211
2015-10-11,1.67744,0.07214
2015-10-12,1.68045,0.06866
2015-10-13,1.68346,0.07261
2015-10-14,1.68647,0.08294
2015-10-15,1.68948,0.09763
2015-10-16,1.69066,0.08298
2015-10-17,1.69184,0.07282
2015-10-18,1.69302,0.06916
2015-10-19,1.6942,0.07297
2015-10-20,1.69537,0.08325
2015-10-21,1.69655,0.09797
2015-10-22,1.69515,0.0895
2015-10-23,1.69374,0.08208
2015-10-24,1.69234,0.07602
2015-10-25,1.69094,0.07166
2015-10-26,1.68953,0.06933
2015-10-27,1.68813,0.06923
2015-10-28,1.68672,0.07137
2015-10-29,1.68532,0.07556
2015-10-30,1.68392,0.08148
2015-10-31,1.68251,0.08879
2015-11-01,1.68111,0.09718
2015-11-02,1.67822,0.09701
2015-11-03,1.67841,0.08929
2015-11-04,1.67859,0.08245
2015-11-05,1.67878,0.0767
2015-11-06,1.67897,0.07233
2015-11-07,1.67916,0.06958
2015-11-08,1.67935,0.06865
2015-11-09,1.67954,0.06961
2015-11-10,1.67972,0.07239
2015-11-11,1.67991,0.07679
2015-11-12,1.6801,0.08255
2015-11-13,1.68029,0.08942
2015-11-14,1.68048,0.09715
2015-11-15,1.67874,0.09704
2015-11-16,1.67793,0.06858
2015-11-17,1.67711,0.09695
2015-11-18,1.67606,0.09028
2015-11-19,1.675,0.08422
2015-11-20,1.67394,0.0789
2015-11-21,1.67288,0.07449
2015-11-22,1.67183,0.07114
2015-11-23,1.67077,0.06902
2015-11-24,1.66971,0.06824
2015-11-25,1.66865,0.06885
2015-11-26,1.6676,0.0708
2015-11-27,1.66654,0.074
2015-11-28,1.66548,0.07829
2015-11-29,1.66443,0.0835
2015-11-30,1.66337,0.08948
2015-12-01,1.66231,0.09607
2015-12-02,1.66216,0.08348
2015-12-03,1.66201,0.0739
2015-12-04,1.66186,0.0686
2015-12-05,1.66171,0.06859
2015-12-06,1.66156,0.07386
2015-12-07,1.66141,0.08343
2015-12-08,1.66125,0.096
2015-12-09,1.66266,0.08837
2015-12-10,1.66406,0.08162
2015-12-11,1.66546,0.07597
2015-12-12,1.66687,0.07169
2015-12-13,1.66827,0.06904
2015-12-14,1.66967,0.06821
2015-12-15,1.67108,0.06925
2015-12-16,1.67248,0.0721
2015-12-17,1.67388,0.07655
2015-12-18,1.67529,0.08233
2015-12-19,1.67669,0.0892
2015-12-20,1.67809,0.09691
2015-12-21,1.67794,0.0892
2015-12-22,1.67779,0.08236
2015-12-23,1.67764,0.07661
2015-12-24,1.67749,0.07223
2015-12-25,1.67733,0.06946
2015-12-26,1.67718,0.06851
2015-12-27,1.67703,0.06945
2015-12-28,1.67688,0.07221
2015-12-29,1.67673,0.07658
2015-12-30,1.67658,0.08232
2015-12-31,1.67642,0.08916
2016-01-01,1.67627,0.09687
2016-01-02,1.67803,0.08917
2016-01-03,1.67978,0.08236
2016-01-04,1.68153,0.07667
2016-01-05,1.68329,0.07238
2016-01-06,1.68504,0.06973
2016-01-07,1.6868,0.06892
2016-01-08,1.68855,0.07001
2016-01-09,1.69031,0.07292
2016-01-10,1.69206,0.07744
2016-01-11,1.69381,0.0833
2016-01-12,1.69557,0.09026
2016-01-13,1.69732,0.09807
2016-01-14,1.71087,0.07354
2016-01-15,1.72442,0.07488
2016-01-16,1.73797,0.10104
2016-01-17,1.7364,0.0905
2016-01-18,1.73484,0.08167
2016-01-19,1.73327,0.07515
2016-01-20,1.73171,0.07158
2016-01-21,1.73014,0.07141
2016-01-22,1.72858,0.07466
2016-01-23,1.72701,0.08091
2016-01-24,1.72545,0.08954
2016-01-25,1.72389,0.09994
2016-01-26,1.72584,0.07453
2016-01-27,1.72779,0.07465
2016-01-28,1.72974,0.10021
2016-01-29,1.73437,0.07932
2016-01-30,1.73899,0.07128
2016-01-31,1.74361,0.08007
2016-02-01,1.74824,0.1014
2016-02-02,1.75186,0.08368
2016-02-03,1.75549,0.07339
2016-02-04,1.75912,0.07372
2016-02-05,1.76275,0.08455
2016-02-06,1.76637,0.1026
2016-02-07,1.76506,0.07645
2016-02-08,1.76374,0.07639
2016-02-09,1.76242,0.10247
2016-02-10,1.75934,0.08095
2016-02-11,1.75625,0.0722
2016-02-12,1.75317,0.0805
2016-02-13,1.75009,0.10175
2016-02-14,1.74709,0.08387
2016-02-15,1.74409,0.07318
2016-02-16,1.74109,0.07294
2016-02-17,1.73809,0.08323
2016-02-18,1.73509,0.10089
2016-02-19,1.73373,0.07516
2016-02-20,1.73237,0.07504
2016-02-21,1.731,0.10063
2016-02-22,1.73187,0.09015
2016-02-23,1.73275,0.08142
2016-02-24,1.73362,0.07506
2016-02-25,1.73449,0.0717
2016-02-26,1.73537,0.07177
2016-02-27,1.73624,0.07525
2016-02-28,1.73711,0.0817
2016-02-29,1.73799,0.0905
2016-03-01,1.73886,0.10103
2016-03-02,1.74233,0.07539
2016-03-03,1.7458,0.07563
2016-03-04,1.74928,0.10158
2016-03-05,1.75114,0.09101
2016-03-06,1.753,0.08222
2016-03-07,1.75486,0.07584
2016-03-08,1.75672,0.07252
2016-03-09,1.75858,0.07266
2016-03-10,1.76044,0.07624
2016-03-11,1.76229,0.08283
2016-03-12,1.76415,0.09178
2016-03-13,1.76601,0.10247
2016-03-14,1.76413,0.07238
2016-03-15,1.76225,0.10225
2016-03-16,1.75985,0.10212
2016-03-17,1.75747,0.09146
2016-03-18,1.75508,0.08252
2016-03-19,1.7527,0.07591
2016-03-20,1.75031,0.07228
2016-03-21,1.74792,0.07207
2016-03-22,1.74554,0.07531
2016-03-23,1.74315,0.0816
2016-03-24,1.74077,0.09029
2016-03-25,1.73838,0.10077
2016-03-26,1.74023,0.07514
2016-03-27,1.74208,0.07524
2016-03-28,1.74393,0.10098
2016-03-29,1.74604,0.07986
2016-03-30,1.74814,0.07154
2016-03-31,1.75025,0.0801
2016-04-01,1.75236,0.10135
2016-04-02,1.75507,0.08361
2016-04-03,1.75778,0.07324
2016-04-04,1.7605,0.07344
2016-04-05,1.76321,0.08413
2016-04-06,1.76592,0.10206
2016-04-07,1.76602,0.07608
2016-04-08,1.76613,0.07611
2016-04-09,1.76623,0.10212
2016-04-10,1.76762,0.0868
2016-04-11,1.769,0.0762
2016-04-12,1.77039,0.07242
2016-04-13,1.77177,0.07647
2016-04-14,1.77316,0.08727
2016-04-15,1.77455,0.10271
2016-04-16,1.77801,0.07665
2016-04-17,1.78148,0.07694
2016-04-18,1.78494,0.10335
2016-04-19,1.7885,0.07713
2016-04-20,1.79206,0.07741
2016-04-21,1.79562,0.10399
2016-04-22,1.79917,0.09318
2016-04-23,1.80271,0.08423
2016-04-24,1.80625,0.07778
2016-04-25,1.8098,0.07449
2016-04-26,1.81334,0.07477
2016-04-27,1.81688,0.07859
2016-04-28,1.82043,0.08547
2016-04-29,1.82397,0.09474
2016-04-30,1.82752,0.10579
2016-05-01,1.83035,0.10596
2016-05-02,1.83196,0.075
2016-05-03,1.83358,0.10616
2016-05-04,1.83383,0.09509
2016-05-05,1.83409,0.08586
2016-05-06,1.83434,0.0791
2016-05-07,1.8346,0.07548
2016-05-08,1.83486,0.07546
2016-05-09,1.83511,0.07903
2016-05-10,1.83537,0.08575
2016-05-11,1.83563,0.09496
2016-05-12,1.83588,0.106
2016-05-13,1.83704,0.07902
2016-05-14,1.83821,0.07905
2016-05-15,1.83937,0.10606
2016-05-16,1.8388,0.09216
2016-05-17,1.83823,0.08158
2016-05-18,1.83766,0.07572
2016-05-19,1.83709,0.07569
2016-05-20,1.83652,0.08149
2016-05-21,1.83595,0.09203
2016-05-22,1.83538,0.10591
2016-05-23,1.83319,0.0748
