Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-01,27.70582,1.44219
2015-01-02,27.7031,1.27544
2015-01-03,27.70038,1.14135
2015-01-04,27.69765,1.05248
2015-01-05,27.69493,1.02071
2015-01-06,27.69221,1.05123
2015-01-07,27.68949,1.13904
2015-01-08,27.68676,1.27234
2015-01-09,27.68404,1.43853
2015-01-10,27.70701,1.31516
2015-01-11,27.72998,1.20778
2015-01-12,27.75294,1.121
2015-01-13,27.77591,1.0599
2015-01-14,27.79888,1.02905
2015-01-15,27.82184,1.03117
2015-01-16,27.84481,1.06607
2015-01-17,27.86778,1.13072
2015-01-18,27.89075,1.2204
2015-01-19,27.91402,1.32835
2015-01-20,27.9373,1.45214
2015-01-21,27.90561,1.31527
2015-01-22,27.87392,1.19762
2015-01-23,27.84224,1.10534
2015-01-24,27.81055,1.04518
2015-01-25,27.77886,1.02282
2015-01-26,27.74717,1.0407
2015-01-27,27.71549,1.09685
2015-01-28,27.6838,1.18586
2015-01-29,27.65211,1.30098
2015-01-30,27.62042,1.43597
2015-01-31,27.59122,1.43188
2015-02-01,27.58173,1.43414
2015-02-02,27.57345,1.33521
2015-02-03,27.56516,1.24544
2015-02-04,27.55688,1.16696
2015-02-05,27.5486,1.10218
2015-02-06,27.54031,1.05362
2015-02-07,27.53203,1.0236
2015-02-08,27.52375,1.01376
2015-02-09,27.51546,1.0247
2015-02-10,27.50718,1.05575
2015-02-11,27.4989,1.10523
2015-02-12,27.49432,1.16542
2015-02-13,27.48974,1.2412
2015-02-14,27.48517,1.32991
2015-02-15,27.48059,1.42914
2015-02-16,27.47451,1.24333
2015-02-17,27.46843,1.10208
2015-02-18,27.46236,1.024
2015-02-19,27.45628,1.02364
2015-02-20,27.4502,1.10109
2015-02-21,27.44412,1.24187
2015-02-22,27.43805,1.42736
2015-02-23,27.41981,1.42501
2015-02-24,27.41782,1.21221
2015-02-25,27.41584,1.06434
2015-02-26,27.41386,1.01034
2015-02-27,27.41187,1.06458
2015-02-28,27.40989,1.21263
2015-03-01,27.4079,1.42555
2015-03-02,27.40498,1.32834
2015-03-03,27.40205,1.24017
2015-03-04,27.39913,1.1631
2015-03-05,27.3962,1.09947
2015-03-06,27.39328,1.05172
2015-03-07,27.39035,1.02208
2015-03-08,27.38743,1.01213
2015-03-09,27.3845,1.02246
2015-03-10,27.38158,1.05246
2015-03-11,27.37865,1.10054
2015-03-12,27.37573,1.16444
2015-03-13,27.3728,1.24174
2015-03-14,27.36988,1.3301
2015-03-15,27.36695,1.42746
2015-03-16,27.35911,1.34624
2015-03-17,27.35128,1.27085
2015-03-18,27.34344,1.20239
2015-03-19,27.3356,1.14209
2015-03-20,27.32776,1.09132
2015-03-21,27.31992,1.05146
2015-03-22,27.31209,1.02378
2015-03-23,27.30425,1.00928
2015-03-24,27.29641,1.00854
2015-03-25,27.28857,1.02158
2015-03-26,27.28073,1.04789
2015-03-27,27.27289,1.0865
2015-03-28,27.26506,1.13616
2015-03-29,27.25722,1.1955
2015-03-30,27.24938,1.26315
2015-03-31,27.24154,1.33786
2015-04-01,27.2337,1.4185
2015-04-02,27.22474,1.32113
2015-04-03,27.21577,1.23264
2015-04-04,27.2068,1.15505
2015-04-05,27.19783,1.0907
2015-04-06,27.18886,1.04205
2015-04-07,27.17989,1.01136
2015-04-08,27.17092,1.00029
2015-04-09,27.16196,1.00948
2015-04-10,27.15299,1.03839
2015-04-11,27.14402,1.08546
2015-04-12,27.13505,1.14845
2015-04-13,27.12608,1.2249
2015-04-14,27.11711,1.31247
2015-04-15,27.10814,1.40909
2015-04-16,27.10473,1.05478
2015-04-17,27.10132,1.0542
2015-04-18,27.09791,1.40778
2015-04-19,27.09292,1.28653
2015-04-20,27.08793,1.18056
2015-04-21,27.08294,1.09432
2015-04-22,27.07795,1.03278
2015-04-23,27.07296,1.00049
2015-04-24,27.06798,1.00029
2015-04-25,27.06299,1.0322
2015-04-26,27.058,1.09342
2015-04-27,27.05301,1.17939
2015-04-28,27.04802,1.28514
2015-04-29,27.04303,1.40623
2015-04-30,27.04124,0.99892
2015-05-01,27.03946,1.40765
2015-05-02,27.03922,1.26194
2015-05-03,27.03898,1.14036
2015-05-04,27.03874,1.05133
2015-05-05,27.0385,1.00355
2015-05-06,27.03826,1.00292
2015-05-07,27.03802,1.04954
2015-05-08,27.03778,1.13761
2015-05-09,27.03754,1.25846
2015-05-10,27.0373,1.40365
2015-05-11,27.03312,1.15996
2015-05-12,27.02894,1.01674
2015-05-13,27.02475,1.01735
2015-05-14,27.02057,1.16156
2015-05-15,27.01639,1.40585
2015-05-16,27.03095,1.19678
2015-05-17,27.04551,1.05174
2015-05-18,27.06007,0.99902
2015-05-19,27.07463,1.05258
2015-05-20,27.0892,1.19826
2015-05-21,27.10376,1.40774
2015-05-22,27.11567,1.28709
2015-05-23,27.12759,1.18198
2015-05-24,27.13951,1.09689
2015-05-25,27.15142,1.03675
2015-05-26,27.16334,1.00605
2015-05-27,27.17526,1.00749
2015-05-28,27.18717,1.04093
2015-05-29,27.19909,1.10347
