time,MAR_land,MAR_ice,RACMO_land,RACMO_ice
2015-01-01,0.000000,0.014873,0.401405,2.176312
2015-01-02,0.000000,0.013825,0.397014,2.187721
2015-01-03,0.000000,0.013825,0.394486,2.171474
2015-01-04,0.000000,0.013825,0.388756,2.165171
2015-01-05,0.000000,0.013825,0.383189,2.169576
2015-01-06,0.000000,0.013819,0.379124,2.159446
2015-01-07,0.000000,0.013914,0.376253,2.159308
2015-01-08,0.000000,0.013989,0.369699,2.153730
2015-01-09,0.000000,0.013989,0.366368,2.157387
2015-01-10,0.000000,0.013966,0.361374,2.157520
2015-01-11,0.000000,0.013934,0.358117,2.144963
2015-01-12,0.000000,0.013989,0.353321,2.148935
2015-01-13,0.000000,0.013989,0.348114,2.173380
2015-01-14,0.000000,0.014348,0.344047,2.137922
2015-01-15,0.000000,0.017022,0.342121,2.137610
2015-01-16,0.000000,0.018398,0.335760,2.133939
2015-01-17,0.000000,0.019033,0.333729,2.126023
2015-01-18,0.000000,0.020132,0.478820,2.203215
2015-01-19,0.000000,0.020002,0.324177,2.125186
2015-01-20,0.000000,0.020217,0.321748,2.132976
2015-01-21,0.000000,0.020606,0.318025,2.121545
2015-01-22,0.000000,0.020837,0.314026,2.126683
2015-01-23,0.000000,0.020991,0.308214,2.119359
2015-01-24,0.000000,0.021451,0.304630,2.123484
2015-01-25,0.000000,0.021246,0.301046,2.115368
2015-01-26,0.000000,0.030371,0.330744,2.110421
2015-01-27,0.000000,0.150395,0.297678,2.113150
2015-01-28,0.000000,0.063975,0.291481,2.109482
2015-01-29,0.000000,0.319252,0.287809,2.114033
2015-01-30,0.000000,0.420407,0.283489,2.107049
2015-01-31,0.000000,0.461950,0.280811,2.100542
2015-02-01,0.000000,0.421441,0.276491,2.099719
2015-02-02,0.000000,0.173976,0.362268,2.270676
2015-02-03,0.000000,0.015358,0.409837,2.463137
2015-02-04,0.000000,0.014588,0.285889,2.088588
2015-02-05,0.000000,0.015178,0.263923,2.096175
2015-02-06,0.000000,0.072830,0.414128,2.075093
2015-02-07,0.000000,0.374477,3.115405,2.713149
2015-02-08,0.000000,0.478120,0.642676,2.058680
2015-02-09,0.000000,0.503618,0.252599,2.067983
2015-02-10,0.000000,0.532399,0.250082,2.052900
2015-02-11,0.000000,0.548556,0.247795,2.058010
2015-02-12,0.000000,0.536377,0.245120,2.043689
2015-02-13,0.000000,0.355178,0.243173,2.056840
2015-02-14,0.000000,0.468129,0.239746,2.049413
2015-02-15,0.000000,0.473279,0.236686,2.051563
2015-02-16,0.000000,0.145090,0.235018,2.042359
2015-02-17,0.000000,0.436264,0.231189,2.040181
2015-02-18,0.000000,0.486434,0.229541,2.036490
2015-02-19,0.000000,0.496420,0.228021,2.037164
2015-02-20,0.000000,0.501466,0.223314,2.049134
2015-02-21,0.000000,0.513731,0.221623,2.053163
2015-02-22,0.000000,0.528951,0.220422,2.054167
2015-02-23,0.000000,0.534749,0.216821,2.041369
2015-02-24,0.000000,0.545942,0.215186,2.055577
2015-02-25,0.000000,0.545140,0.213281,2.045502
2015-02-26,0.000000,0.538853,0.208950,2.038591
2015-02-27,0.000000,0.537680,0.206455,2.029247
2015-02-28,0.000000,0.529347,0.205017,2.038554
2015-03-01,0.000000,0.531432,0.203620,2.029733
2015-03-02,0.000000,0.533164,0.199865,2.034138
2015-03-03,0.000000,0.536261,0.201538,2.023259
2015-03-04,0.000000,0.548396,0.196845,2.014039
2015-03-05,0.000000,0.552929,0.193033,2.013574
2015-03-06,0.000000,0.552787,0.191345,2.013422
2015-03-07,0.000000,0.561105,0.189857,2.008202
2015-03-08,0.000000,0.566923,0.185394,1.996866
2015-03-09,0.000000,0.571309,0.186079,1.991879
2015-03-10,0.000000,0.580663,0.180252,1.989838
2015-03-11,0.000000,0.573127,0.180127,1.992705
2015-03-12,0.000000,0.553837,0.179733,1.987238
2015-03-13,0.000000,0.549471,0.176047,1.982494
2015-03-14,0.000000,0.546465,0.172171,1.982087
2015-03-15,0.000000,0.541940,0.173714,1.983574
2015-03-16,0.000000,0.544054,0.167054,1.967853
2015-03-17,0.000000,0.546926,0.167740,1.977252
2015-03-18,0.000000,0.547171,0.218334,1.973257
2015-03-19,0.000000,0.546675,0.200849,1.974700
