time,MAR_land,MAR_ice,RACMO_land,RACMO_ice
2015-01-01,22.302892,0.020687,8.372944,7.671955
2015-01-02,22.207328,0.020695,8.319422,7.526246
2015-01-03,22.095974,0.020695,8.242431,7.638271
2015-01-04,21.985509,0.020695,8.154855,7.681294
2015-01-05,21.876314,0.020695,8.090078,7.632463
2015-01-06,21.754427,0.020680,8.037008,7.563678
2015-01-07,21.665509,0.020695,7.957890,7.570059
2015-01-08,21.562832,0.020695,7.886691,7.547253
2015-01-09,21.460155,0.020830,7.823095,7.510791
2015-01-10,21.358584,0.020713,7.719901,7.522185
2015-01-11,21.242920,0.020680,7.642390,7.472746
2015-01-12,21.157480,0.020695,7.581227,7.471272
2015-01-13,21.058054,0.020695,7.497173,7.455685
2015-01-14,20.958453,0.020695,7.443493,7.864180
2015-01-15,20.858787,0.020695,7.385172,7.367590
2015-01-16,20.746002,0.020680,7.290626,7.459129
2015-01-17,20.662544,0.020695,7.216633,7.435552
2015-01-18,20.565508,0.020695,7.178900,7.446203
2015-01-19,20.469296,0.020695,8.945066,7.459323
2015-01-20,20.373121,0.020695,7.030428,7.410433
2015-01-21,20.263933,0.022354,6.928116,7.443997
2015-01-22,20.185492,0.089142,6.874148,7.404472
2015-01-23,20.093561,0.026186,6.796938,7.389607
2015-01-24,20.001403,0.020698,6.730162,9.740322
2015-01-25,19.909100,0.020697,6.676549,7.390431
2015-01-26,19.803195,0.020680,6.604435,7.741705
2015-01-27,19.725293,0.020695,6.547678,7.321558
2015-01-28,19.634902,0.020695,6.461316,7.341535
2015-01-29,19.545386,0.020695,6.412530,7.329149
2015-01-30,19.455179,0.020695,6.337934,7.316285
2015-01-31,19.364729,0.020695,6.264618,7.284459
2015-02-01,19.261137,0.020680,6.222628,7.280866
2015-02-02,19.186045,0.020695,6.137490,7.266269
2015-02-03,19.098868,0.020695,9.064278,7.744622
2015-02-04,19.011750,0.020695,6.127102,7.178579
2015-02-05,18.924882,0.020695,6.305909,7.230869
2015-02-06,18.825518,0.020145,5.969157,7.203093
2015-02-07,18.753705,0.020971,7.096496,7.255497
2015-02-08,18.669462,0.022547,23.423341,7.191643
2015-02-09,18.586002,0.020750,5.727722,9.089195
2015-02-10,18.502347,0.020695,5.651531,7.188805
2015-02-11,18.406510,0.020680,5.576292,7.132156
2015-02-12,18.336744,0.021219,5.531006,7.176952
2015-02-13,18.254307,0.023029,5.475307,7.425988
2015-02-14,18.172391,0.019754,5.419484,7.106172
2015-02-15,18.090819,0.019606,5.337146,7.085266
2015-02-16,17.997076,0.038953,5.294719,7.093437
2015-02-17,17.929018,0.019759,5.230590,7.057310
2015-02-18,17.848589,0.020092,5.158695,7.113759
2015-02-19,17.768438,0.020277,5.135172,7.047992
2015-02-20,17.688194,0.020391,5.054843,7.116646
2015-02-21,17.596240,0.021578,4.970542,7.042271
2015-02-22,17.530398,0.020944,4.912969,7.001059
2015-02-23,17.453300,0.019994,4.861371,7.408812
2015-02-24,17.376871,0.020941,4.822801,7.002275
2015-02-25,17.300726,0.019662,4.720676,6.951247
2015-02-26,17.212879,0.019639,4.668382,6.924895
2015-02-27,17.149842,0.019652,4.634127,7.906647
2015-02-28,17.075281,0.019683,4.580005,6.993271
2015-03-01,16.990953,0.020410,4.516317,6.929989
2015-03-02,16.931797,0.020005,4.454966,6.925065
2015-03-03,16.861086,0.020767,4.400261,6.943139
2015-03-04,16.791067,0.021222,4.485175,6.934024
2015-03-05,16.720990,0.021085,4.303837,6.856428
2015-03-06,16.639297,0.021837,5.494742,6.925246
2015-03-07,16.581479,0.020696,4.652139,6.902360
2015-03-08,16.512925,0.022058,4.126631,6.788506
2015-03-09,16.444107,0.022359,4.213841,6.947383
2015-03-10,16.375359,0.023625,4.184497,6.863739
2015-03-11,16.295917,0.020699,3.998821,6.831439
2015-03-12,16.238803,0.020695,3.960176,6.882631
2015-03-13,16.170259,0.020695,3.947173,7.080939
2015-03-14,16.102630,0.020695,4.981431,6.923972
2015-03-15,16.035946,0.020695,4.180995,6.772227
2015-03-16,15.958470,0.020680,3.788811,6.718666
2015-03-17,15.903411,0.020695,3.751740,6.719790
2015-03-18,15.837854,0.020695,3.701050,6.785818
2015-03-19,16.325662,0.020695,3.680474,6.702439
2015-03-20,15.709040,0.020695,5.919420,6.763440
2015-03-21,15.634481,0.020680,4.486087,6.723060
2015-03-22,15.582458,0.020695,3.543936,6.756805
2015-03-23,15.520782,0.020695,3.515737,6.666122
2015-03-24,15.459660,0.020695,3.465166,6.738304
2015-03-25,15.398177,0.020695,3.436901,6.716881
2015-03-26,15.325946,0.020680,3.471541,6.675704
2015-03-27,15.274900,0.020695,3.357710,6.722355
2015-03-28,15.213435,0.020695,3.336986,6.645869
2015-03-29,15.152309,0.020695,3.284259,6.927633
2015-03-30,15.091035,0.020695,3.267603,6.587416
2015-03-31,15.029614,0.020695,3.221839,6.657347
2015-04-01,14.958127,8.226958,3.250725,6.612275
2015-04-02,14.907939,0.083888,3.184598,6.672642
2015-04-03,14.847705,0.021130,3.171289,6.650383
2015-04-04,15.820565,0.020695,3.097634,6.548903
