time,MAR_land,MAR_ice,RACMO_land,RACMO_ice,MAR_total,RACMO_total
2015-01-01,0.0,0.118131,1.291953,0.901235,0.118131,2.193188
2015-01-02,0.0,0.074938,1.266,0.895955,0.074938,2.161955
2015-01-03,0.0,0.058729,1.245407,0.881259,0.058729,2.126666
2015-01-04,0.0,0.070563,1.2281,0.890019,0.070563,2.118119
2015-01-05,0.0,0.082954,1.19719,0.88868,0.082954,2.08587
2015-01-06,0.0,0.14052,1.180901,0.881055,0.14052,2.061956
2015-01-07,0.0,0.966178,1.199833,0.90792,0.966178,2.1077529999999998
2015-01-08,0.0,1.40512,1.138667,0.854939,1.40512,1.9936060000000002
2015-01-09,0.0,1.390399,1.137835,0.921295,1.390399,2.0591299999999997
2015-01-10,0.0,0.667546,1.100934,0.895694,0.667546,1.996628
2015-01-11,0.0,1.375825,1.081433,0.853352,1.375825,1.9347850000000002
2015-01-12,0.0,1.506797,1.061612,0.882839,1.506797,1.944451
2015-01-13,0.0,1.511005,1.043057,0.895968,1.511005,1.939025
2015-01-14,3.9e-05,0.771229,1.021989,0.863733,0.7712680000000001,1.885722
2015-01-15,4.4e-05,1.444134,1.006098,0.900763,1.444178,1.906861
2015-01-16,2e-06,2.262366,0.984206,0.92286,2.262368,1.907066
2015-01-17,0.000239,2.983233,0.967554,0.784748,2.983472,1.752302
2015-01-18,2.8e-05,3.497201,0.948696,0.896659,3.497229,1.845355
2015-01-19,0.00011,3.733217,0.955867,0.917082,3.7333269999999996,1.872949
2015-01-20,0.000569,3.792545,1.216231,0.860654,3.793114,2.076885
2015-01-21,0.000141,3.798618,0.970332,0.930494,3.798759,1.900826
2015-01-22,0.0,2.366709,0.924596,0.899277,2.366709,1.8238729999999999
2015-01-23,0.0,1.565263,0.858606,0.865238,1.565263,1.723844
2015-01-24,0.0,0.982765,0.84225,0.885026,0.982765,1.727276
2015-01-25,0.0,0.544848,0.825532,0.88026,0.544848,1.7057920000000002
2015-01-26,0.0,0.382567,0.809957,0.850277,0.382567,1.660234
2015-01-27,0.0,1.546889,0.796297,0.89153,1.546889,1.687827
2015-01-28,0.0,2.52088,0.779224,1.022439,2.52088,1.801663
