time,MAR_land,MAR_ice,RACMO_land,RACMO_ice
2015-01-01,2.442248,0.076511,0.326575,3.538268
2015-01-02,2.416593,0.008212,0.319980,3.517290
2015-01-03,2.389713,0.015809,0.317009,3.485095
2015-01-04,2.363499,0.014336,0.311600,3.463143
2015-01-05,2.338375,0.001362,0.306315,3.480712
2015-01-06,2.312852,0.001702,0.301838,3.470540
2015-01-07,2.293704,0.001449,0.296639,3.464661
2015-01-08,2.273461,0.002790,0.291079,3.473542
2015-01-09,2.253245,0.003455,0.290562,3.441825
2015-01-10,2.233422,0.001356,0.282235,3.453163
2015-01-11,2.212833,0.001355,0.279140,3.420864
2015-01-12,2.196222,0.001962,0.270985,3.425672
2015-01-13,2.178276,0.003015,0.269854,3.438724
2015-01-14,2.160832,0.003289,0.268321,3.413166
2015-01-15,2.143545,0.001500,0.256117,3.477091
2015-01-16,2.124769,0.002398,0.257172,3.403943
2015-01-17,2.108947,0.003917,0.251900,3.408413
2015-01-18,2.091673,0.031325,0.563082,3.407029
2015-01-19,2.074523,0.034310,0.378943,3.404298
2015-01-20,2.057697,0.021130,0.239182,3.356332
2015-01-21,2.039958,0.016579,0.237156,3.393591
2015-01-22,2.025306,0.002879,0.232046,3.358731
2015-01-23,2.009222,0.001366,0.228197,3.378127
2015-01-24,1.993121,0.001383,0.226094,3.367263
2015-01-25,1.977087,0.001372,0.221452,3.352184
2015-01-26,1.959692,0.001901,0.219173,3.391732
2015-01-27,1.945131,0.002372,0.214972,3.346610
2015-01-28,1.929185,0.002601,0.212168,3.369871
2015-01-29,1.913342,0.003422,0.207836,3.335654
2015-01-30,1.897640,0.013526,0.205963,3.318506
2015-01-31,1.882412,0.050194,0.202918,3.317486
2015-02-01,1.866281,0.121667,0.200828,3.328865
2015-02-02,1.852953,0.014922,0.193368,3.349712
2015-02-03,1.838265,0.003797,0.199992,3.468180
2015-02-04,1.823551,0.003048,0.232858,3.276443
2015-02-05,1.808955,0.001386,0.186456,3.318750
2015-02-06,1.793192,0.001968,0.183316,3.321026
2015-02-07,1.780197,0.005150,2.853786,3.604232
2015-02-08,1.766522,0.013467,0.199771,3.300232
2015-02-09,1.752787,0.002808,0.178804,3.267704
2015-02-10,1.739234,0.001465,0.173021,3.246192
2015-02-11,1.724665,0.001290,0.170202,3.261574
2015-02-12,1.712890,0.000811,0.170908,3.246244
2015-02-13,1.700470,0.002089,0.167988,3.272698
2015-02-14,1.688071,0.016278,0.163591,3.234904
2015-02-15,1.675602,0.000862,0.162175,3.214161
2015-02-16,1.661919,0.000794,0.159796,3.215353
2015-02-17,1.650535,0.000796,0.157533,3.185267
2015-02-18,1.638082,0.000796,0.153442,3.241519
2015-02-19,1.625679,0.000794,0.150396,3.194458
2015-02-20,1.613237,0.000794,0.151328,3.193976
2015-02-21,1.599733,0.000793,0.145236,3.196676
2015-02-22,1.588289,0.001253,0.145211,3.181004
2015-02-23,1.575975,0.000964,0.140594,3.225289
2015-02-24,1.564212,0.003787,0.142899,3.175726
2015-02-25,1.553518,0.002397,0.135425,3.195201
2015-02-26,1.542558,0.001361,0.135945,3.204427
2015-02-27,1.534172,0.003821,0.130467,3.163702
2015-02-28,1.524743,0.001366,0.129381,3.179740
2015-03-01,1.514388,0.001738,0.128312,3.138689
2015-03-02,1.506390,0.019422,0.126143,3.127622
2015-03-03,1.497408,0.020244,0.123758,3.723050
2015-03-04,1.488691,0.019890,0.121590,3.137409
2015-03-05,1.480464,0.014361,0.119674,3.126184
2015-03-06,1.471287,0.000915,0.117514,3.108632
2015-03-07,1.464196,0.000795,0.116024,3.113942
2015-03-08,1.454049,0.000795,0.115120,3.119861
2015-03-09,1.443004,0.000795,0.113799,3.142958
2015-03-10,1.434762,0.000795,0.111918,3.107064
2015-03-11,1.425538,0.000794,0.108926,3.085455
2015-03-12,1.418158,0.000795,0.107755,3.077776
2015-03-13,1.409817,0.000795,0.107857,3.098565
2015-03-14,1.401555,0.000795,0.103273,3.112053
2015-03-15,1.393353,0.000795,0.101135,3.077078
2015-03-16,1.384451,0.000794,0.105737,3.045785
2015-03-17,1.377636,0.000795,0.101170,3.121193
2015-03-18,1.358906,0.000795,0.098113,3.067246
2015-03-19,1.343911,0.000795,0.104445,3.064592
2015-03-20,1.336348,0.000796,0.097079,3.065018
2015-03-21,1.327872,0.000795,0.095467,3.044063
2015-03-22,1.321420,0.000795,0.095517,3.055076
2015-03-23,1.314089,0.000795,0.095044,3.009182
2015-03-24,1.306771,0.000797,0.090357,3.017935
2015-03-25,1.299372,0.000709,0.091426,3.000161
2015-03-26,1.291042,0.000632,0.089814,2.993150
2015-03-27,1.284406,0.000691,0.088795,3.030570
2015-03-28,1.276852,0.000728,0.087335,2.994839
2015-03-29,1.269304,0.000720,0.086416,3.023395
2015-03-30,1.261691,0.000784,0.084235,2.964301
2015-03-31,1.254153,0.000738,0.085143,3.012248
2015-04-01,1.245830,0.000787,0.083670,2.971976
2015-04-02,1.239267,0.001640,0.080613,2.983170
2015-04-03,1.231797,0.001355,0.083142,3.000403
2015-04-04,1.224275,0.000681,0.077967,2.963475
2015-04-05,1.216851,0.000632,0.077997,2.980776
2015-04-06,1.208790,0.000804,0.079021,3.202665
2015-04-07,1.202646,0.000683,0.076420,2.956766
2015-04-08,1.195698,0.000689,0.076420,2.914391
2015-04-09,1.188824,0.000632,0.074845,2.919414
2015-04-10,1.182027,0.000632,0.076961,2.942954
2015-04-11,1.174436,0.000667,0.072755,2.933208
2015-04-12,1.168414,0.000919,0.072755,2.887700
2015-04-13,1.161565,0.000944,0.071686,2.934938
2015-04-14,1.154802,0.000784,0.337049,6.272279
2015-04-15,1.148142,0.000761,0.414906,4.465243
2015-04-16,1.140852,0.000873,0.143089,3.999135
2015-04-17,1.135199,0.000733,0.068577,2.916993
2015-04-18,1.128777,0.000963,0.228602,3.607656
2015-04-19,1.122522,0.001163,1.068015,5.341687
2015-04-20,1.116456,0.000694,0.492666,3.005795
2015-04-21,1.109789,0.000681,0.077244,2.896517
2015-04-22,1.105019,0.000632,0.651531,7.536712
2015-04-23,1.099522,0.001290,1.332205,6.931011
2015-04-24,1.094051,0.000797,0.292277,4.211510
2015-04-25,1.088575,0.000779,0.064896,3.991117
2015-04-26,1.082329,0.000699,0.124933,2.886723
2015-04-27,1.077596,0.000708,0.098522,2.836567
2015-04-28,1.072088,0.000697,0.957624,2.845051
2015-04-29,1.066532,0.000757,2.741061,2.856038
2015-04-30,1.060971,0.000745,2.072609,2.811845
2015-05-01,1.054650,0.000734,1.057549,2.808873
