time,MAR_land,MAR_ice,RACMO_land,RACMO_ice
2015-01-01,2.773167,0.496806,0.531016,2.343317
2015-01-02,2.751382,0.324742,0.521579,2.274083
2015-01-03,2.727956,0.212931,0.515574,2.235288
2015-01-04,2.704891,0.016020,0.512362,2.220328
2015-01-05,2.682290,0.011246,0.507757,2.234572
2015-01-06,2.658250,0.136628,0.504309,2.192357
2015-01-07,2.638456,0.153166,0.499346,2.215803
2015-01-08,2.617207,0.244198,0.493578,2.214469
2015-01-09,2.596020,0.249784,0.492849,2.207520
2015-01-10,2.574925,0.219908,0.485588,2.177322
2015-01-11,2.552456,0.086805,0.480871,2.219945
2015-01-12,2.533937,0.054848,0.478648,2.207340
2015-01-13,2.513463,0.055250,0.470583,2.176898
2015-01-14,2.492872,0.248838,0.471183,2.210350
2015-01-15,2.472706,0.328596,0.460866,2.233666
2015-01-16,2.451358,0.199079,0.460090,2.195868
2015-01-17,2.433787,0.309650,0.456570,2.191418
2015-01-18,2.414605,0.391841,0.630245,2.253348
2015-01-19,2.395510,0.411020,0.479691,2.276227
2015-01-20,2.376594,0.302041,0.443029,2.192905
2015-01-21,2.356222,0.241746,0.506492,2.206361
2015-01-22,2.339092,0.089720,0.432125,2.204192
2015-01-23,2.320289,0.063301,0.429880,2.183393
2015-01-24,2.301480,0.063650,0.423370,2.200386
2015-01-25,2.282902,0.044944,0.421673,2.183529
2015-01-26,2.262828,0.006848,0.507201,2.170091
2015-01-27,2.246252,0.006640,0.412682,2.185620
2015-01-28,2.229266,0.006433,0.409253,2.193535
2015-01-29,2.213207,0.014710,0.405721,2.165549
2015-01-30,2.197231,0.022868,0.400121,2.169827
2015-01-31,2.181845,0.023576,0.399913,2.167216
2015-02-01,2.165494,0.024278,0.393624,2.099641
2015-02-02,2.152793,0.022644,2.046818,2.204669
2015-02-03,2.139000,0.023503,1.216688,2.288765
2015-02-04,2.125711,0.024789,0.403774,2.323323
2015-02-05,2.112795,0.017892,0.424706,2.174920
2015-02-06,2.098767,0.017576,0.521946,2.184808
2015-02-07,2.087613,0.009131,4.117605,2.464594
2015-02-08,2.074991,0.003678,0.451064,2.081681
2015-02-09,2.062457,0.003346,0.363574,2.060925
2015-02-10,2.050037,0.003343,0.361504,2.140217
2015-02-11,2.036089,0.003382,0.360058,2.085492
2015-02-12,2.024931,0.003380,0.361721,2.086385
2015-02-13,2.012360,0.003241,0.354347,2.052281
2015-02-14,1.999916,0.028391,0.349192,2.087978
2015-02-15,1.987843,0.079004,0.351537,2.077706
2015-02-16,1.974810,0.074152,0.348046,2.079646
2015-02-17,1.964607,0.194565,0.347099,2.077080
2015-02-18,1.953066,0.183230,0.343267,2.075985
