time,MAR_land,MAR_ice,RACMO_land,RACMO_ice
2015-01-01,0.000000,6.217009,0.024465,23.240385
2015-01-02,0.000000,6.572555,0.024954,23.194897
2015-01-03,0.000000,6.773311,0.025782,23.210798
2015-01-04,0.000000,5.703570,0.024095,23.119720
2015-01-05,0.000000,5.223073,0.023891,23.069118
2015-01-06,0.000000,3.738450,0.023097,23.042611
2015-01-07,0.000000,3.636916,0.021577,23.035252
2015-01-08,0.000000,3.691009,0.022417,22.956284
2015-01-09,0.000000,3.603010,0.027469,22.982340
2015-01-10,0.000000,2.404737,0.021141,22.937974
2015-01-11,0.000000,2.370365,0.020858,22.899750
2015-01-12,0.000000,2.364808,0.020177,22.862378
2015-01-13,0.000000,3.186998,0.019911,22.849017
2015-01-14,0.000000,3.598119,0.019811,22.788929
2015-01-15,0.000000,3.606104,0.024427,22.766025
2015-01-16,0.000000,3.610148,0.023842,28.111746
2015-01-17,0.000000,3.789800,0.019096,22.718514
2015-01-18,0.000000,4.091790,0.023692,22.850129
2015-01-19,0.000000,4.121520,0.018149,22.773166
2015-01-20,0.000000,4.184683,0.018149,22.580649
2015-01-21,0.000000,4.199449,0.017816,22.586060
2015-01-22,0.000000,4.201207,0.017484,22.512129
2015-01-23,0.000000,3.311677,0.017434,22.495635
2015-01-24,0.000000,3.538264,0.016819,22.445582
2015-01-25,0.000000,4.078603,0.016769,22.418013
2015-01-26,0.000000,4.153742,0.016487,22.451960
2015-01-27,0.000000,4.192450,0.019713,22.558051
2015-01-28,0.000000,3.936139,0.015822,22.480953
2015-01-29,0.000000,4.213714,0.015772,22.491096
2015-01-30,0.000000,4.282851,0.015157,22.455610
2015-01-31,0.000000,4.322956,0.015107,22.450619
2015-02-01,0.000000,4.338499,0.015057,22.406538
2015-02-02,0.000000,3.904978,0.014260,23.538654
2015-02-03,0.000000,3.337319,0.014260,23.183173
2015-02-04,0.000000,3.165662,0.014392,22.246015
2015-02-05,0.000000,3.176996,0.014420,22.232109
2015-02-06,0.000000,3.198402,0.013162,22.220429
2015-02-07,0.000000,3.235141,0.013162,22.198649
2015-02-08,0.000000,3.248891,0.013199,22.153823
2015-02-09,0.000000,3.252802,0.012830,22.123313
2015-02-10,0.000000,3.242558,0.012498,22.077454
2015-02-11,0.000000,2.809316,0.012498,22.058284
2015-02-12,0.000000,2.771561,0.012129,22.051159
2015-02-13,0.000000,3.151517,0.011833,21.985440
2015-02-14,0.000000,3.220586,0.011587,21.976624
2015-02-15,0.000000,3.201084,0.011500,21.933258
2015-02-16,0.000000,2.692084,0.010885,21.942974
2015-02-17,0.000000,3.074676,0.010835,21.891205
2015-02-18,0.000000,3.183660,0.010553,21.868173
2015-02-19,0.000000,3.200586,0.010221,21.842559
2015-02-20,0.000000,3.191560,0.010171,21.803233
