time,MAR_land,MAR_ice,RACMO_land,RACMO_ice
2015-01-01,7.668226,0.001798,0.735101,11.593215
2015-01-02,7.599472,0.001790,0.722343,11.584937
2015-01-03,7.526086,0.001779,0.715523,11.585846
2015-01-04,7.455081,0.001804,0.703744,11.529835
2015-01-05,7.384377,0.001815,0.697385,11.521673
2015-01-06,7.307576,0.001776,0.687283,11.487709
2015-01-07,7.241760,0.001778,0.703260,11.445175
2015-01-08,7.172737,0.001779,0.676427,11.451483
2015-01-09,7.104126,0.001782,0.667943,11.425843
2015-01-10,7.036418,0.001777,0.654639,11.396218
2015-01-11,6.964228,0.001784,0.652223,11.401132
2015-01-12,6.901422,0.001802,0.642947,11.386072
2015-01-13,6.833957,0.001778,0.626814,11.325515
2015-01-14,6.767454,0.001797,0.625851,11.339245
2015-01-15,6.701441,0.001997,0.616049,11.329019
2015-01-16,6.631924,0.002188,0.608837,11.317256
2015-01-17,6.572651,0.002182,0.602549,11.231312
2015-01-18,6.508311,0.001956,0.595173,11.255313
2015-01-19,6.444423,0.001837,1.407341,11.236019
2015-01-20,6.382877,0.001820,0.583393,11.160537
2015-01-21,6.317874,0.000552,0.570070,11.121097
2015-01-22,6.262110,0.000395,0.566806,11.154355
2015-01-23,6.203043,0.000394,0.556288,11.159728
2015-01-24,6.144697,0.000394,0.554593,11.072383
2015-01-25,6.086643,0.000394,0.543523,11.070571
2015-01-26,6.026883,0.000394,0.537284,11.073428
2015-01-27,5.977125,0.000200,0.534937,11.034801
2015-01-28,5.923983,0.000039,0.523466,11.025567
2015-01-29,5.870727,0.000041,0.519533,11.004649
2015-01-30,5.819279,0.000039,0.514990,10.990637
2015-01-31,5.769294,0.000038,0.506404,14.895522
2015-02-01,5.715713,0.000038,0.501804,10.976399
2015-02-02,5.670764,0.000038,0.493922,10.982732
2015-02-03,5.622731,0.000043,0.674823,11.093292
2015-02-04,5.576785,0.000042,0.484917,10.950655
2015-02-05,5.532649,0.000050,0.479913,10.945133
2015-02-06,5.484724,0.000062,0.463515,10.917476
2015-02-07,5.445433,0.000062,0.469082,10.932092
2015-02-08,5.402713,0.000049,0.574274,10.885567
2015-02-09,5.360120,0.000044,0.456130,10.885867
2015-02-10,5.318398,0.000039,0.448294,10.871913
2015-02-11,5.273240,0.000039,0.441324,10.840277
2015-02-12,5.235621,0.000040,0.438350,10.835896
2015-02-13,5.194986,0.000041,0.432561,10.825954
2015-02-14,5.154776,0.000038,0.424410,10.787941
2015-02-15,5.115170,0.000038,0.419277,10.781293
2015-02-16,5.072352,0.000074,0.418147,10.741791
2015-02-17,5.036742,0.000105,0.405442,10.778801
2015-02-18,4.998058,0.000109,0.405495,10.737848
2015-02-19,4.959404,0.000091,0.396254,10.702975
2015-02-20,4.921229,0.000041,0.392855,10.743601
2015-02-21,4.880942,0.000039,0.385297,10.711085
2015-02-22,4.847475,0.000040,0.380144,10.695229
2015-02-23,4.810812,0.000038,0.379322,10.684687
2015-02-24,4.774065,0.000042,0.372640,10.674600
