time,MAR_land,MAR_ice,RACMO_land,RACMO_ice
2015-01-01,0.032740,3.969329,0.112277,8.770867
2015-01-02,0.010955,3.385237,0.107172,8.764863
2015-01-03,0.009644,1.587746,0.107154,8.765894
2015-01-04,0.011597,1.460392,0.107154,8.766811
2015-01-05,0.020359,1.460413,0.103487,8.736243
2015-01-06,0.013552,1.433081,0.104596,8.739265
2015-01-07,0.006220,1.422618,0.100923,8.697212
2015-01-08,0.006470,1.424170,0.102371,8.716888
2015-01-09,0.007857,1.423633,0.099807,8.693310
2015-01-10,0.007873,1.420802,0.098359,8.697007
2015-01-11,0.007033,1.419634,0.096134,8.682051
2015-01-12,0.009881,1.420480,0.097243,8.676981
2015-01-13,0.011204,1.562583,0.091788,8.611716
2015-01-14,0.012623,2.430325,0.092454,8.658632
2015-01-15,0.016565,2.725194,0.092466,8.617212
2015-01-16,0.018660,2.842886,0.089551,8.611536
2015-01-17,0.019476,2.881984,0.088447,8.606484
2015-01-18,0.009867,2.896723,0.801054,8.629536
2015-01-19,0.005511,2.872152,0.128183,8.547832
2015-01-20,0.001871,2.650114,0.084768,8.552386
2015-01-21,0.001995,2.887580,0.083319,8.531008
2015-01-22,0.002125,2.924879,0.083658,8.513116
2015-01-23,0.001878,2.267513,0.081094,8.505705
2015-01-24,0.001478,2.670239,0.079646,8.502122
2015-01-25,0.001500,2.832520,0.079646,8.478178
2015-01-26,0.003988,2.762564,0.078530,8.500755
2015-01-27,0.006030,2.802096,0.077421,8.464356
2015-01-28,0.008785,1.880986,0.075972,8.440584
2015-01-29,0.007418,2.579362,0.073408,8.497598
2015-01-30,0.002147,2.842508,0.074857,8.479929
2015-01-31,0.002478,2.837732,0.072293,8.448937
2015-02-01,0.002191,2.350823,0.084221,8.442735
2015-02-02,0.000598,1.751211,0.072293,8.927428
2015-02-03,0.000445,1.800585,0.134495,9.393163
2015-02-04,0.000468,1.827472,0.083183,8.357394
2015-02-05,0.001622,1.823339,0.069723,8.361130
2015-02-06,0.012002,1.635505,0.067504,8.339817
2015-02-07,0.009489,1.574896,1.646103,8.477004
2015-02-08,0.004094,1.571912,0.099064,8.374393
2015-02-09,0.001954,1.570531,0.063497,8.364812
2015-02-10,0.004498,1.569266,0.062382,8.358720
2015-02-11,0.008815,1.568060,0.063491,8.341637
2015-02-12,0.008295,1.567750,0.059311,8.324357
2015-02-13,0.003374,1.546735,0.062376,8.326297
2015-02-14,0.002062,1.510367,0.058887,8.314559
2015-02-15,0.002232,1.510605,0.059818,8.276315
2015-02-16,0.005190,1.542411,0.057254,8.278623
2015-02-17,0.008058,1.555823,0.057259,8.247799
2015-02-18,0.003575,1.428543,0.054695,8.258063
2015-02-19,0.002143,1.407277,0.056138,8.260341
2015-02-20,0.002101,1.407324,0.053580,8.232488
2015-02-21,0.003740,1.406223,0.052131,8.209771
2015-02-22,0.001799,1.458493,0.053580,8.206030
2015-02-23,0.001597,1.529351,0.051016,8.188171
2015-02-24,0.009656,1.513051,0.048290,8.192056
2015-02-25,0.006865,1.531249,0.047003,8.131804
2015-02-26,0.001368,1.540147,0.049901,8.149524
2015-02-27,0.001040,1.541946,0.046900,8.165237
2015-02-28,0.001090,1.542061,0.047003,8.141019
2015-03-01,0.014751,1.542387,0.044778,8.166036
2015-03-02,0.070270,1.546436,0.044778,8.095575
2015-03-03,0.023455,1.551967,0.042220,8.107862
2015-03-04,0.017662,1.554991,0.043669,8.087685
