time,MAR_land,RACMO_land
2015-07-07,75.809299,33.024660
2015-07-08,110.714583,35.915777
2015-07-09,82.067967,28.704551
2015-07-10,72.699866,23.682931
2015-07-11,63.027241,17.547973
2015-07-12,35.830579,15.799356
2015-07-13,53.969609,16.152812
2015-07-14,62.058058,15.194209
2015-07-15,101.070495,17.860967
2015-07-16,92.623443,18.858074
2015-07-17,63.083626,21.827339
2015-07-18,65.481973,22.863658
2015-07-19,82.584654,33.414284
2015-07-20,43.168513,19.717378
2015-07-21,22.125622,15.691336
2015-07-22,16.625438,16.575654
2015-07-23,15.025672,16.591319
2015-07-24,19.823309,14.209702
2015-07-25,13.041975,16.460764
2015-07-26,5.096198,15.699108
2015-07-27,4.866508,16.620871
2015-07-28,7.615984,16.049685
2015-07-29,9.065239,16.892914
2015-07-30,8.990806,16.656071
2015-07-31,49.071823,24.759821
2015-08-01,57.500412,49.286260
2015-08-02,24.851504,21.653399
2015-08-03,18.023627,16.937973
2015-08-04,13.594731,11.325502
2015-08-05,12.028405,12.783654
2015-08-06,10.520348,14.862940
2015-08-07,15.188886,13.728753
2015-08-08,6.337571,12.162557
2015-08-09,18.365931,17.399433
2015-08-10,38.330825,22.309181
2015-08-11,6.818693,14.698255
2015-08-12,0.594032,8.688772
2015-08-13,4.903981,25.934727
2015-08-14,1.044679,27.191459
2015-08-15,3.636227,20.911770
2015-08-16,65.237770,31.130708
2015-08-17,23.548864,8.772400
2015-08-18,4.913732,5.524422
2015-08-19,0.638382,3.981219
2015-08-20,0.016159,9.113578
2015-08-21,6.138545,15.300238
2015-08-22,18.347272,9.095606
2015-08-23,10.214673,8.471826
2015-08-24,16.960340,24.526840
2015-08-25,4.777681,30.310449
2015-08-26,20.846922,22.262304
2015-08-27,0.838510,7.843637
2015-08-28,0.204458,2.828043
2015-08-29,0.053051,3.018487
2015-08-30,0.072080,3.394579
2015-08-31,0.440827,8.621264
2015-09-01,1.513703,2.978612
2015-09-02,13.920041,6.045871
2015-09-03,26.281199,2.643345
2015-09-04,0.572580,2.640233
2015-09-05,0.312634,2.640596
2015-09-06,0.062243,7.780141
2015-09-07,9.199824,10.078267
2015-09-08,52.685251,18.493908
2015-09-09,137.545624,53.135979
2015-09-10,113.772163,48.812058
2015-09-11,7.847698,5.717280
2015-09-12,28.162910,3.327975
2015-09-13,0.785577,2.545687
2015-09-14,0.011841,2.684375
2015-09-15,0.007306,2.517120
2015-09-16,0.009170,2.512565
2015-09-17,0.015043,2.519523
2015-09-18,0.801187,2.492117
2015-09-19,26.916723,4.203274
2015-09-20,96.133767,35.360579
2015-09-21,15.037223,13.599287
2015-09-22,2.809183,4.548174
2015-09-23,0.309734,5.717870
2015-09-24,0.037495,2.733876
2015-09-25,2.715015,3.219076
2015-09-26,0.074064,2.909356
2015-09-27,5.832520,3.180460
2015-09-28,6.795275,2.562471
2015-09-29,0.202414,2.569500
2015-09-30,0.515956,2.609130
2015-10-01,0.004529,2.605283
2015-10-02,0.001102,2.619234
2015-10-03,0.000617,2.640487
2015-10-04,0.001497,2.657918
2015-10-05,0.001582,3.759940
2015-10-06,17.775969,20.666947
2015-10-07,64.583114,14.408360
2015-10-08,3.322660,3.702335
2015-10-09,0.037853,6.310743
2015-10-10,0.001257,2.767485
2015-10-11,0.000440,2.786944
2015-10-12,0.000197,2.799382
2015-10-13,0.000000,2.884600
2015-10-14,0.000000,2.830786
2015-10-15,0.000000,2.997066
2015-10-16,3.019041,3.507176
2015-10-17,69.957612,8.915719
2015-10-18,4.530596,3.041008
2015-10-19,0.000540,2.851382
2015-10-20,0.007357,2.841290
2015-10-21,0.028317,2.843983
2015-10-22,0.007065,2.837661
2015-10-23,0.008193,2.823253
2015-10-24,0.008692,2.813700
2015-10-25,0.004523,2.800380
2015-10-26,0.004160,2.786300
2015-10-27,0.008938,2.774694
2015-10-28,0.216152,4.578562
2015-10-29,19.923469,14.154012
2015-10-30,64.158673,6.588683
2015-10-31,0.504259,2.774914
2015-11-01,0.007319,2.683613
2015-11-02,0.005234,2.662407
2015-11-03,0.004722,2.642086
2015-11-04,0.003756,2.631291
2015-11-05,0.003853,2.607969
2015-11-06,0.003650,2.623433
2015-11-07,0.004280,3.451238
2015-11-08,0.009076,2.560928
2015-11-09,0.003944,2.536835
2015-11-10,0.003814,2.515988
2015-11-11,0.003787,2.502702
2015-11-12,0.003641,2.484273
2015-11-13,0.003602,2.451633
2015-11-14,0.004406,2.438888
2015-11-15,0.004624,2.420532
2015-11-16,0.004658,2.400714
2015-11-17,0.003933,2.378295
2015-11-18,0.004045,2.359531
2015-11-19,0.005299,2.336841
2015-11-20,0.004044,2.315047
2015-11-21,0.006186,2.298629
2015-11-22,0.006073,2.331951
2015-11-23,0.004493,2.259170
2015-11-24,0.004601,2.231895
2015-11-25,0.004598,2.214668
2015-11-26,0.004514,2.196143
2015-11-27,0.004561,2.168833
2015-11-28,0.004537,2.162993
2015-11-29,0.004423,2.127984
2015-11-30,0.004432,2.120916
2015-12-01,0.004500,2.102183
2015-12-02,0.004840,2.072396
2015-12-03,0.004818,2.056494
2015-12-04,0.003802,2.033776
2015-12-05,0.004639,2.025578
2015-12-06,0.004450,1.998621
2015-12-07,0.004600,1.977794
2015-12-08,0.004666,1.963947
2015-12-09,0.004876,1.946343
2015-12-10,0.004640,1.920938
2015-12-11,0.004802,1.907206
2015-12-12,0.004517,1.876814
2015-12-13,0.004506,1.867162
2015-12-14,0.004586,1.843428
2015-12-15,0.004812,1.830171
2015-12-16,0.004536,1.802769
2015-12-17,0.004611,1.783767
2015-12-18,0.004543,1.771187
2015-12-19,0.004509,1.749417
2015-12-20,0.004822,1.729444
2015-12-21,0.005469,1.710642
2015-12-22,0.004694,1.688398
2015-12-23,0.004801,1.673625
2015-12-24,0.004469,1.657760
2015-12-25,0.004941,1.637790
2015-12-26,0.004581,1.618170
2015-12-27,0.006300,1.598134
2015-12-28,0.006509,1.993657
2015-12-29,0.005333,1.577934
2015-12-30,0.005409,1.542380
2015-12-31,0.005240,1.622463
2016-01-01,0.000000,1.549558
2016-01-02,0.000000,1.496289
2016-01-03,0.000000,1.472804
2016-01-04,0.000000,1.455178
2016-01-05,0.000000,1.443947
2016-01-06,0.000000,1.424826
2016-01-07,0.000000,1.406409
2016-01-08,0.000000,1.394739
