Date,Discharge (Gt/yr),Error (Gt/yr),Coverage
2015-01-01,0.01749,0.00793,0.64273
2015-01-02,0.01754,0.00767,0.64548
2015-01-03,0.01759,0.00741,0.64823
2015-01-04,0.01764,0.00717,0.65098
2015-01-05,0.0177,0.00694,0.65373
2015-01-06,0.01775,0.00673,0.65648
2015-01-07,0.0178,0.00654,0.65923
2015-01-08,0.01785,0.00637,0.66198
2015-01-09,0.0179,0.00622,0.66473
2015-01-10,0.01796,0.00609,0.66748
2015-01-11,0.01801,0.00598,0.67023
2015-01-12,0.01806,0.00591,0.67298
2015-01-13,0.01811,0.00586,0.67573
2015-01-14,0.01817,0.00583,0.67848
2015-01-15,0.01822,0.00584,0.68123
2015-01-16,0.01827,0.00587,0.68399
2015-01-17,0.01832,0.00593,0.68674
2015-01-18,0.01837,0.00602,0.68949
2015-01-19,0.01843,0.00613,0.69224
2015-01-20,0.01848,0.00626,0.69499
2015-01-21,0.01853,0.00642,0.69774
2015-01-22,0.01858,0.0066,0.70049
2015-01-23,0.01863,0.0068,0.70324
2015-01-24,0.01869,0.00701,0.70599
2015-01-25,0.01874,0.00725,0.70874
2015-01-26,0.01879,0.00749,0.71149
2015-01-27,0.01884,0.00775,0.71424
2015-01-28,0.01889,0.00802,0.71699
2015-01-29,0.01895,0.00831,0.71974
2015-01-30,0.019,0.0086,0.7225
2015-01-31,0.01875,0.00598,0.82349
2015-02-01,0.01851,0.00831,0.92448
2015-02-02,0.01853,0.00752,0.90883
2015-02-03,0.01855,0.00685,0.89318
2015-02-04,0.01856,0.00633,0.87753
2015-02-05,0.01858,0.006,0.86188
2015-02-06,0.0186,0.00589,0.84623
2015-02-07,0.01862,0.00601,0.83058
2015-02-08,0.01864,0.00636,0.81493
2015-02-09,0.01866,0.00689,0.79928
2015-02-10,0.01868,0.00756,0.78362
2015-02-11,0.01869,0.00835,0.76797
2015-02-12,0.01873,0.0081,0.77523
2015-02-13,0.01877,0.00785,0.78248
2015-02-14,0.01881,0.00762,0.78973
2015-02-15,0.01885,0.00739,0.79698
2015-02-16,0.01889,0.00718,0.80423
2015-02-17,0.01893,0.00699,0.81148
2015-02-18,0.01897,0.00681,0.81873
2015-02-19,0.01901,0.00665,0.82598
2015-02-20,0.01905,0.00651,0.83323
2015-02-21,0.01909,0.00638,0.84048
2015-02-22,0.01913,0.00628,0.84773
2015-02-23,0.01917,0.0062,0.85498
2015-02-24,0.01921,0.00614,0.86223
2015-02-25,0.01925,0.00611,0.86949
2015-02-26,0.01929,0.0061,0.87674
2015-02-27,0.01933,0.00611,0.88399
2015-02-28,0.01937,0.00615,0.89124
2015-03-01,0.01941,0.00621,0.89849
2015-03-02,0.01945,0.00629,0.90574
2015-03-03,0.01949,0.0064,0.91299
2015-03-04,0.01953,0.00652,0.92024
2015-03-05,0.01957,0.00667,0.92749
2015-03-06,0.01961,0.00683,0.93474
2015-03-07,0.01965,0.00701,0.94199
2015-03-08,0.01969,0.00721,0.94924
2015-03-09,0.01973,0.00742,0.9565
2015-03-10,0.01977,0.00764,0.96375
2015-03-11,0.01981,0.00788,0.971
2015-03-12,0.01985,0.00812,0.97825
2015-03-13,0.01989,0.00838,0.9855
2015-03-14,0.01993,0.00865,0.99275
2015-03-15,0.01997,0.00892,1.0
