Date,Discharge (Gt/yr),Error (Gt/yr),Coverage
2015-01-01,0.06505,0.02159,0.92932
2015-01-02,0.06471,0.02116,0.92427
2015-01-03,0.06437,0.02074,0.91922
2015-01-04,0.06403,0.02036,0.91417
2015-01-05,0.06369,0.02,0.90913
2015-01-06,0.06335,0.01967,0.90408
2015-01-07,0.06301,0.01937,0.89903
2015-01-08,0.06267,0.0191,0.89398
2015-01-09,0.06233,0.01887,0.88893
2015-01-10,0.06199,0.01867,0.88388
2015-01-11,0.06166,0.0185,0.87883
2015-01-12,0.06132,0.01837,0.87379
2015-01-13,0.06098,0.01828,0.86874
2015-01-14,0.06064,0.01823,0.86369
2015-01-15,0.0603,0.01821,0.85864
2015-01-16,0.05996,0.01823,0.85359
2015-01-17,0.05962,0.01829,0.84854
2015-01-18,0.05928,0.01839,0.84349
2015-01-19,0.05894,0.01852,0.83845
2015-01-20,0.0586,0.0187,0.8334
2015-01-21,0.05827,0.0189,0.82835
2015-01-22,0.05793,0.01914,0.8233
2015-01-23,0.05759,0.01942,0.81825
2015-01-24,0.05725,0.01972,0.8132
2015-01-25,0.05691,0.02006,0.80815
2015-01-26,0.05657,0.02042,0.80311
2015-01-27,0.05623,0.02081,0.79806
2015-01-28,0.05589,0.02123,0.79301
2015-01-29,0.05555,0.02167,0.78796
2015-01-30,0.05521,0.02213,0.78291
2015-01-31,0.05487,0.02261,0.77786
2015-02-01,0.05454,0.02312,0.77281
2015-02-02,0.05417,0.02092,0.77204
2015-02-03,0.05381,0.01899,0.77126
2015-02-04,0.05345,0.01743,0.77048
2015-02-05,0.05309,0.01634,0.76971
2015-02-06,0.05273,0.01582,0.76893
2015-02-07,0.05237,0.01592,0.76816
2015-02-08,0.05201,0.01663,0.76738
2015-02-09,0.05164,0.01788,0.7666
2015-02-10,0.05128,0.01957,0.76583
2015-02-11,0.05092,0.0216,0.76505
2015-02-12,0.05068,0.01704,0.79791
2015-02-13,0.05043,0.01512,0.83078
2015-02-14,0.05019,0.01678,0.86364
2015-02-15,0.04994,0.02118,0.8965
2015-02-16,0.04989,0.02044,0.9002
2015-02-17,0.04984,0.01972,0.90389
2015-02-18,0.04979,0.01904,0.90759
2015-02-19,0.04974,0.01839,0.91129
2015-02-20,0.04969,0.01778,0.91498
2015-02-21,0.04964,0.01722,0.91868
2015-02-22,0.04959,0.0167,0.92238
2015-02-23,0.04954,0.01623,0.92607
2015-02-24,0.04948,0.01582,0.92977
2015-02-25,0.04943,0.01547,0.93347
2015-02-26,0.04938,0.01519,0.93716
2015-02-27,0.04933,0.01497,0.94086
2015-02-28,0.04928,0.01483,0.94455
2015-03-01,0.04923,0.01476,0.94825
2015-03-02,0.04918,0.01477,0.95195
2015-03-03,0.04913,0.01485,0.95564
2015-03-04,0.04908,0.01501,0.95934
2015-03-05,0.04903,0.01523,0.96304
2015-03-06,0.04898,0.01553,0.96673
2015-03-07,0.04893,0.01589,0.97043
2015-03-08,0.04888,0.01631,0.97413
2015-03-09,0.04883,0.01679,0.97782
2015-03-10,0.04878,0.01731,0.98152
2015-03-11,0.04873,0.01789,0.98521
2015-03-12,0.04868,0.0185,0.98891
2015-03-13,0.04862,0.01916,0.99261
2015-03-14,0.04857,0.01985,0.9963
2015-03-15,0.04852,0.02057,1.0
2015-03-16,0.04864,0.0194,1.0
2015-03-17,0.04875,0.01832,1.0
2015-03-18,0.04887,0.01735,1.0
2015-03-19,0.04899,0.01651,1.0
2015-03-20,0.0491,0.01582,1.0
2015-03-21,0.04922,0.0153,1.0
2015-03-22,0.04933,0.01497,1.0
2015-03-23,0.04945,0.01483,1.0
2015-03-24,0.04956,0.0149,1.0
2015-03-25,0.04968,0.01517,1.0
2015-03-26,0.0498,0.01563,1.0
2015-03-27,0.04991,0.01627,1.0
2015-03-28,0.05003,0.01707,1.0
2015-03-29,0.05014,0.01799,1.0
2015-03-30,0.05026,0.01904,1.0
2015-03-31,0.05037,0.02018,1.0
2015-04-01,0.05049,0.0214,1.0
2015-04-02,0.05056,0.01993,1.0
2015-04-03,0.05062,0.01861,1.0
2015-04-04,0.05069,0.01745,1.0
2015-04-05,0.05075,0.01651,1.0
2015-04-06,0.05082,0.01581,1.0
2015-04-07,0.05089,0.01539,1.0
2015-04-08,0.05095,0.01527,1.0
2015-04-09,0.05102,0.01547,1.0
2015-04-10,0.05108,0.01596,1.0
2015-04-11,0.05115,0.01673,1.0
2015-04-12,0.05122,0.01773,1.0
2015-04-13,0.05128,0.01893,1.0
