Date,Discharge (Gt/yr),Error (Gt/yr),Coverage
2015-01-01,1.14561,0.02454,0.85634
2015-01-02,1.14533,0.02437,0.85921
2015-01-03,1.14505,0.02436,0.86209
2015-01-04,1.14477,0.02451,0.86496
2015-01-05,1.14449,0.02481,0.86784
2015-01-06,1.14421,0.02525,0.87071
2015-01-07,1.14393,0.02584,0.87359
2015-01-08,1.14365,0.02656,0.87646
2015-01-09,1.14337,0.02739,0.87933
2015-01-10,1.14309,0.02834,0.88221
2015-01-11,1.14281,0.02938,0.88508
2015-01-12,1.14253,0.03052,0.88796
2015-01-13,1.14225,0.03173,0.89083
2015-01-14,1.14197,0.03301,0.89371
2015-01-15,1.14169,0.03436,0.89658
2015-01-16,1.14125,0.03326,0.89484
2015-01-17,1.14081,0.03221,0.89309
2015-01-18,1.14037,0.0312,0.89134
2015-01-19,1.13993,0.03024,0.8896
2015-01-20,1.1395,0.02932,0.88785
2015-01-21,1.13906,0.02846,0.8861
2015-01-22,1.13862,0.02766,0.88436
2015-01-23,1.13818,0.02693,0.88261
2015-01-24,1.13774,0.02627,0.88087
2015-01-25,1.1373,0.02568,0.87912
2015-01-26,1.13686,0.02518,0.87737
2015-01-27,1.13642,0.02476,0.87563
2015-01-28,1.13598,0.02444,0.87388
2015-01-29,1.13555,0.02421,0.87214
2015-01-30,1.13511,0.02407,0.87039
2015-01-31,1.13467,0.02404,0.86864
2015-02-01,1.13423,0.02411,0.8669
2015-02-02,1.13379,0.02428,0.86515
2015-02-03,1.13335,0.02454,0.8634
2015-02-04,1.13291,0.0249,0.86166
2015-02-05,1.13247,0.02535,0.85991
2015-02-06,1.13204,0.02588,0.85817
2015-02-07,1.1316,0.0265,0.85642
2015-02-08,1.13116,0.02719,0.85467
2015-02-09,1.13072,0.02794,0.85293
2015-02-10,1.13028,0.02877,0.85118
2015-02-11,1.12984,0.02965,0.84944
2015-02-12,1.1294,0.03058,0.84769
2015-02-13,1.12896,0.03156,0.84594
2015-02-14,1.12852,0.03259,0.8442
2015-02-15,1.12809,0.03365,0.84245
2015-02-16,1.12798,0.03247,0.84488
2015-02-17,1.12788,0.03134,0.8473
2015-02-18,1.12777,0.03026,0.84973
2015-02-19,1.12767,0.02924,0.85215
2015-02-20,1.12756,0.02829,0.85458
2015-02-21,1.12746,0.02741,0.85701
2015-02-22,1.12735,0.0266,0.85943
2015-02-23,1.12725,0.02589,0.86186
2015-02-24,1.12715,0.02526,0.86428
2015-02-25,1.12704,0.02474,0.86671
2015-02-26,1.12694,0.02433,0.86913
2015-02-27,1.12683,0.02403,0.87156
2015-02-28,1.12673,0.02384,0.87399
2015-03-01,1.12662,0.02378,0.87641
2015-03-02,1.12652,0.02384,0.87884
2015-03-03,1.12641,0.02402,0.88126
2015-03-04,1.12631,0.02431,0.88369
2015-03-05,1.12621,0.02472,0.88611
2015-03-06,1.1261,0.02524,0.88854
2015-03-07,1.126,0.02586,0.89097
2015-03-08,1.12589,0.02657,0.89339
2015-03-09,1.12579,0.02737,0.89582
2015-03-10,1.12568,0.02825,0.89824
2015-03-11,1.12558,0.0292,0.90067
2015-03-12,1.12547,0.03022,0.90309
2015-03-13,1.12537,0.0313,0.90552
2015-03-14,1.12527,0.03243,0.90795
2015-03-15,1.12516,0.0336,0.91037
2015-03-16,1.12441,0.03169,0.90286
2015-03-17,1.12366,0.02991,0.89536
2015-03-18,1.12291,0.02829,0.88785
2015-03-19,1.12215,0.02685,0.88035
2015-03-20,1.1214,0.02565,0.87284
2015-03-21,1.12065,0.02469,0.86533
2015-03-22,1.1199,0.02402,0.85783
2015-03-23,1.11915,0.02366,0.85032
2015-03-24,1.11839,0.02362,0.84282
2015-03-25,1.11764,0.0239,0.83531
2015-03-26,1.11689,0.0245,0.8278
2015-03-27,1.11614,0.02539,0.8203
2015-03-28,1.11539,0.02654,0.81279
2015-03-29,1.11464,0.02793,0.80528
2015-03-30,1.11388,0.0295,0.79778
2015-03-31,1.11313,0.03125,0.79027
2015-04-01,1.11238,0.03314,0.78277
2015-04-02,1.11174,0.03086,0.79079
2015-04-03,1.11111,0.02879,0.79881
2015-04-04,1.11047,0.02699,0.80683
2015-04-05,1.10984,0.02549,0.81485
2015-04-06,1.1092,0.02436,0.82287
2015-04-07,1.10856,0.02366,0.83089
2015-04-08,1.10793,0.02342,0.83891
2015-04-09,1.10729,0.02366,0.84693
2015-04-10,1.10665,0.02435,0.85495
2015-04-11,1.10602,0.02548,0.86297
2015-04-12,1.10538,0.02697,0.87099
2015-04-13,1.10474,0.02877,0.87901
2015-04-14,1.10411,0.03084,0.88703
2015-04-15,1.10347,0.03311,0.89505
2015-04-16,1.10361,0.02814,0.87571
2015-04-17,1.10374,0.02468,0.85637
2015-04-18,1.10388,0.02342,0.83703
2015-04-19,1.10401,0.02469,0.81769
2015-04-20,1.10415,0.02816,0.79836
2015-04-21,1.10428,0.03314,0.77902
2015-04-22,1.10473,0.03001,0.80111
2015-04-23,1.10518,0.02733,0.82321
2015-04-24,1.10563,0.02526,0.84531
2015-04-25,1.10607,0.02394,0.86741
2015-04-26,1.10652,0.0235,0.88951
2015-04-27,1.10697,0.02399,0.91161
2015-04-28,1.10741,0.02536,0.9337
2015-04-29,1.10786,0.02748,0.9558
2015-04-30,1.10831,0.03018,0.9779
2015-05-01,1.10876,0.03333,1.0
2015-05-02,1.10997,0.03105,0.99342
2015-05-03,1.11118,0.02898,0.98683
2015-05-04,1.11239,0.02717,0.98025
2015-05-05,1.11361,0.02569,0.97366
2015-05-06,1.11482,0.02459,0.96708
2015-05-07,1.11603,0.02392,0.96049
2015-05-08,1.11724,0.02372,0.95391
2015-05-09,1.11846,0.02401,0.94732
2015-05-10,1.11967,0.02476,0.94074
2015-05-11,1.12088,0.02593,0.93415
2015-05-12,1.12209,0.02748,0.92757
2015-05-13,1.1233,0.02933,0.92099
2015-05-14,1.12452,0.03145,0.9144
2015-05-15,1.12573,0.03377,0.90782
2015-05-16,1.12832,0.03185,0.91304
2015-05-17,1.13091,0.03008,0.91827
2015-05-18,1.13349,0.02848,0.9235
2015-05-19,1.13608,0.02709,0.92873
2015-05-20,1.13867,0.02595,0.93395
2015-05-21,1.14126,0.02508,0.93918
2015-05-22,1.14385,0.02451,0.94441
2015-05-23,1.14643,0.02427,0.94963
2015-05-24,1.14902,0.02436,0.95486
2015-05-25,1.15161,0.02479,0.96009
2015-05-26,1.1542,0.02553,0.96532
2015-05-27,1.15679,0.02655,0.97054
2015-05-28,1.15937,0.02783,0.97577
2015-05-29,1.16196,0.02934,0.981
2015-05-30,1.16455,0.03104,0.98623
2015-05-31,1.16714,0.03289,0.99145
2015-06-01,1.16973,0.03489,0.99668
2015-06-02,1.17103,0.03249,0.99197
2015-06-03,1.17233,0.03032,0.98725
2015-06-04,1.17363,0.02844,0.98254
2015-06-05,1.17493,0.02688,0.97783
2015-06-06,1.17623,0.02573,0.97312
2015-06-07,1.17753,0.02503,0.9684
2015-06-08,1.17883,0.02482,0.96369
2015-06-09,1.18013,0.02512,0.95898
2015-06-10,1.18143,0.0259,0.95427
2015-06-11,1.18273,0.02713,0.94955
2015-06-12,1.18404,0.02874,0.94484
2015-06-13,1.18534,0.03068,0.94013
2015-06-14,1.18664,0.03289,0.93541
2015-06-15,1.18794,0.03532,0.9307
2015-06-16,1.18617,0.03318,0.93503
2015-06-17,1.18441,0.03121,0.93936
2015-06-18,1.18264,0.02943,0.9437
2015-06-19,1.18088,0.02788,0.94803
2015-06-20,1.17911,0.02661,0.95236
2015-06-21,1.17734,0.02565,0.95669
2015-06-22,1.17558,0.02503,0.96102
2015-06-23,1.17381,0.02479,0.96535
