index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
69,134181,-1,,,-1,-1,land,14,64.882,-40.624,False,210850,-2755550
70,134187,-1,,,-1,-1,land,-8,64.888,-40.842,False,200350,-2755650
71,134217,-1,,,-1,-1,land,-1,64.891,-41.074,False,189150,-2756150
72,134235,-1,,,-1,-1,land,-1,64.871,-40.583,False,212950,-2756650
73,134250,-1,,,-1,-1,land,-1,64.876,-40.835,False,200750,-2757050
74,134254,-1,,,-1,-1,land,7,64.880,-41.032,False,191250,-2757250
75,134303,-1,,,-1,-1,land,-2,64.866,-40.837,False,200750,-2758150
76,134325,-1,,,-1,-1,land,-1,64.862,-40.861,False,199650,-2758650
77,134329,-1,,,-1,-1,land,5,64.852,-40.576,False,213450,-2758750
78,134360,-1,,,-1,-1,land,0,64.858,-40.899,False,197850,-2759250
79,134361,-1,,,-1,-1,land,6,64.847,-40.558,False,214350,-2759250
80,134384,-1,,,-1,-1,land,-1,64.859,-41.004,False,192750,-2759550
81,134400,-1,,,-1,-1,land,-1,64.854,-40.914,False,197150,-2759750
82,134413,-1,,,-1,-1,land,18,64.842,-40.555,False,214550,-2759850
83,134418,-1,,,-1,-1,land,1,64.855,-40.995,False,193250,-2759950
84,134426,-1,,,-1,-1,land,0,64.853,-40.947,False,195550,-2760050
85,134493,-1,,,-1,-1,land,-1,64.847,-40.969,False,194550,-2760750
86,134549,-1,,,-1,-1,land,-1,64.827,-40.514,False,216650,-2761350
87,134580,-1,,,-1,-1,land,-1,64.820,-40.486,False,218050,-2762050
88,134606,-1,,,-1,-1,land,-1,64.831,-40.949,False,195650,-2762550
89,134639,-1,,,-1,-1,land,-1,64.810,-40.511,False,216950,-2763250
90,134705,-1,,,-1,-1,land,8,64.801,-40.521,False,216550,-2764350
91,134786,-1,,,-1,-1,land,53,64.787,-40.511,False,217150,-2765950
92,134857,-1,,,-1,-1,land,-1,64.777,-40.509,False,217350,-2767050
93,134929,-1,,,-1,-1,land,-1,64.769,-40.502,False,217750,-2767950
94,134958,-1,,,-1,-1,land,6,64.771,-40.723,False,207050,-2768550
95,134971,-1,,,-1,-1,land,-1,64.769,-40.703,False,208050,-2768650
96,134977,-1,,,-1,-1,land,-1,64.768,-40.692,False,208550,-2768750
97,135030,-1,,,-1,-1,land,-1,64.752,-40.482,False,218850,-2769750
98,135036,-1,,,-1,-1,land,4,64.758,-40.678,False,209350,-2769850
99,135066,-1,,,-1,-1,land,-1,64.746,-40.461,False,219950,-2770350
100,135074,-1,,,-1,-1,land,12,64.745,-40.446,False,220650,-2770450
101,135114,-1,,,-1,-1,land,-1,64.750,-40.797,False,203650,-2771150
102,135127,-1,,,-1,-1,land,-1,64.743,-40.664,False,210150,-2771450
