index,id,lon,lat,x,y,elev,Z2012_sector,Z2012_sector_dist,M2019_ID,M2019_ID_dist,M2019_basin,M2019_region,M2020_gate,M2020_gate_dist,B2015_name,B2015_dist,domain,upstream,coast_id,coast_lon,coast_lat,coast_x,coast_y
0,91732,-28.455,68.476,671550,-2260650,-80,32,1618,151,0,KRONBORG,CE,183,6750,Kronborg Gletsjer,28974,land,False,-1,,,-1,-1
1,91765,-28.417,68.465,673450,-2261450,-1,32,3677,151,1799,KRONBORG,CE,183,8650,Kronborg Gletsjer,30697,land,False,-1,,,-1,-1
2,91769,-28.408,68.463,673850,-2261550,-1,32,4080,151,2207,KRONBORG,CE,183,9051,Kronborg Gletsjer,31009,land,False,-1,,,-1,-1
3,91783,-28.527,68.473,668850,-2261850,20,32,776,151,1044,KRONBORG,CE,183,4074,Kronborg Gletsjer,28671,land,False,-1,,,-1,-1
4,91803,-28.377,68.454,675350,-2262150,53,32,5691,151,3822,KRONBORG,CE,183,10576,Kronborg Gletsjer,32380,land,False,-1,,,-1,-1
5,91818,-28.361,68.449,676150,-2262450,27,32,6542,151,4677,KRONBORG,CE,183,11398,Kronborg Gletsjer,33104,land,False,-1,,,-1,-1
6,91829,-28.330,68.444,677550,-2262650,-1,32,7888,151,6062,KRONBORG,CE,183,12811,Kronborg Gletsjer,34134,land,False,-1,,,-1,-1
7,92002,-28.525,68.427,670350,-2266750,89,32,5900,151,3769,KRONBORG,CE,183,7708,Kronborg Gletsjer,33731,land,False,-1,,,-1,-1
8,92012,-28.531,68.427,670150,-2266850,43,32,5940,151,3634,KRONBORG,CE,183,7637,Kronborg Gletsjer,33736,land,False,-1,,,-1,-1
9,92041,-28.629,68.433,666050,-2267350,-1,32,2666,151,0,KRONBORG,CE,183,6079,Kronborg Gletsjer,32690,land,False,-1,,,-1,-1
10,92042,-28.625,68.433,666250,-2267350,-1,32,2845,151,0,KRONBORG,CE,183,6124,Kronborg Gletsjer,32753,land,False,-1,,,-1,-1
11,92044,-28.606,68.431,667050,-2267350,-1,32,3563,151,756,KRONBORG,CE,183,6361,Kronborg Gletsjer,33015,land,False,-1,,,-1,-1
12,92094,-28.657,68.424,665250,-2268650,-1,32,1776,151,0,KRONBORG,CE,183,7044,Kronborg Gletsjer,33697,land,False,-1,,,-1,-1
13,92096,-28.668,68.423,664850,-2268850,-1,32,1336,151,0,KRONBORG,CE,183,7051,Kronborg Gletsjer,33780,land,False,-1,,,-1,-1
14,92099,-28.671,68.415,664950,-2269750,149,32,1292,151,639,KRONBORG,CE,183,7919,Kronborg Gletsjer,34675,land,False,-1,,,-1,-1
15,92109,-28.655,68.404,665950,-2270750,199,32,2565,151,1937,KRONBORG,CE,183,9237,Kronborg Gletsjer,35909,land,False,-1,,,-1,-1
16,92143,-28.786,68.402,660850,-2272550,-36,32,2654,150,0,ROSENBORG,CE,185,7935,Rosenborg Gletsjer,36034,land,False,-1,,,-1,-1
