index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
0,87544,-1,,,-1,-1,land,-1,68.956,-25.564,False,766850,-2173250
1,87560,-1,,,-1,-1,land,-1,68.961,-25.628,False,764250,-2173550
2,87561,-1,,,-1,-1,land,-1,68.960,-25.621,False,764550,-2173550
3,87595,-1,,,-1,-1,land,25,68.964,-25.686,False,761950,-2174050
4,87616,-1,,,-1,-1,land,35,68.962,-25.706,False,761250,-2174550
5,87656,-1,,,-1,-1,land,8,68.960,-25.747,False,759750,-2175250
6,87672,-1,,,-1,-1,land,56,68.964,-25.801,False,757550,-2175550
7,87673,-1,,,-1,-1,land,56,68.962,-25.783,False,758350,-2175550
8,87706,-1,,,-1,-1,land,-1,68.964,-25.844,False,755950,-2176150
9,87727,-1,,,-1,-1,land,-14,68.964,-25.872,False,754850,-2176450
10,87807,-1,,,-1,-1,land,-3,68.943,-25.848,False,756550,-2178450
11,87823,-1,,,-1,-1,land,-1,68.944,-25.876,False,755450,-2178650
12,87844,-1,,,-1,-1,land,-1,68.935,-25.840,False,757150,-2179150
13,87869,-1,,,-1,-1,land,20,68.926,-25.825,False,758050,-2179850
14,87879,-1,,,-1,-1,land,13,68.921,-25.798,False,759250,-2180050
15,87880,-1,,,-1,-1,land,2,68.918,-25.772,False,760350,-2180050
16,87928,-1,,,-1,-1,land,-1,68.905,-25.735,False,762250,-2180950
17,87947,-1,,,-1,-1,land,18,68.891,-25.683,False,764750,-2181750
18,87987,-1,,,-1,-1,land,-1,68.881,-25.703,False,764350,-2183050
19,88072,-1,,,-1,-1,land,10,68.881,-25.811,False,760250,-2184450
20,88074,-1,,,-1,-1,land,2,68.879,-25.792,False,761050,-2184450
21,88114,-1,,,-1,-1,land,-1,68.890,-25.918,False,755850,-2184950
22,88118,-1,,,-1,-1,land,-1,68.872,-25.777,False,761850,-2184950
23,88133,-1,,,-1,-1,land,2,68.890,-25.936,False,755150,-2185150
24,88134,-1,,,-1,-1,land,-1,68.884,-25.884,False,757350,-2185150
25,88161,-1,,,-1,-1,land,-1,68.879,-25.868,False,758150,-2185450
26,88226,-1,,,-1,-1,land,1,68.878,-25.937,False,755550,-2186450
27,88236,-1,,,-1,-1,land,-1,68.875,-25.924,False,756150,-2186650
28,88324,-1,,,-1,-1,land,-31,68.876,-26.054,False,751150,-2188250
29,88333,-1,,,-1,-1,land,53,68.873,-26.039,False,751850,-2188350
30,88350,-1,,,-1,-1,land,-1,68.868,-26.019,False,752750,-2188550
31,88386,-1,,,-1,-1,land,-1,68.860,-25.993,False,754050,-2189050
32,88393,-1,,,-1,-1,land,19,68.856,-25.963,False,755350,-2189150
