index,id,lon,lat,x,y,elev,Z2012_sector,Z2012_sector_dist,M2019_ID,M2019_ID_dist,M2019_basin,M2019_region,M2020_gate,M2020_gate_dist,B2015_name,B2015_dist,domain,upstream,coast_id,coast_lon,coast_lat,coast_x,coast_y
0,150359,-41.593,62.975,177150,-2975550,6,43,34161,260,4194,ICE_CAPS_SE,SE,302,36531,Apusiigajik,23770,land,False,-1,,,-1,-1
1,150516,-41.622,62.955,175750,-2977950,5,43,35581,260,1861,ICE_CAPS_SE,SE,302,38189,Apusiigajik,26156,land,False,-1,,,-1,-1
2,150533,-41.584,62.952,177750,-2978250,-1,43,36795,260,3714,ICE_CAPS_SE,SE,302,39238,Apusiigajik,26495,land,False,-1,,,-1,-1
3,150548,-41.613,62.951,176250,-2978450,3,43,36255,260,2211,ICE_CAPS_SE,SE,302,38838,Apusiigajik,26652,land,False,-1,,,-1,-1
4,150558,-41.587,62.948,177650,-2978650,-1,43,37094,260,3546,ICE_CAPS_SE,SE,302,39563,Apusiigajik,26889,land,False,-1,,,-1,-1
5,150577,-41.605,62.942,176750,-2979350,0,43,37284,260,2632,ICE_CAPS_SE,SE,302,39859,Apusiigajik,27557,land,False,-1,,,-1,-1
6,150673,-42.274,62.943,141950,-2981150,5,43,14983,90,0,SE_NONAME6,SE,304,19910,Garm,14025,land,False,-1,,,-1,-1
7,150704,-42.328,62.939,139150,-2981750,24,43,12471,90,1450,SE_NONAME6,SE,304,17054,Garm,13624,land,False,-1,,,-1,-1
8,150705,-42.273,62.938,142050,-2981750,-1,43,15234,90,0,SE_NONAME6,SE,304,19851,Garm,14609,land,False,-1,,,-1,-1
9,150709,-41.772,62.925,168150,-2981850,-1,43,36608,260,755,ICE_CAPS_SE,SE,302,39957,Apusiigajik,31119,land,False,-1,,,-1,-1
10,150723,-41.652,62.918,174450,-2982250,4,43,38944,260,1722,ICE_CAPS_SE,SE,302,41809,Apusiigajik,30504,land,False,-1,,,-1,-1
11,150726,-42.286,62.933,141350,-2982350,6,43,14745,90,399,SE_NONAME6,SE,304,19030,Garm,14879,land,False,-1,,,-1,-1
12,150735,-41.654,62.917,174350,-2982450,6,43,39091,260,1604,ICE_CAPS_SE,SE,302,41970,Apusiigajik,30709,land,False,-1,,,-1,-1
13,150741,-42.342,62.932,138450,-2982550,4,43,12120,90,2073,SE_NONAME6,SE,304,16165,Garm,14255,land,False,-1,,,-1,-1
14,150758,-41.567,62.911,178950,-2982850,-1,43,41405,260,6092,ICE_CAPS_SE,SE,302,43935,Apusiigajik,31171,land,False,-1,,,-1,-1
15,150761,-41.791,62.916,167250,-2982950,3,43,37483,260,2047,ICE_CAPS_SE,SE,302,40914,Apusiigajik,32420,land,False,-1,,,-1,-1
16,150762,-41.768,62.915,168450,-2982950,19,43,37747,260,1291,ICE_CAPS_SE,SE,302,41091,Apusiigajik,32109,land,False,-1,,,-1,-1
17,150766,-42.352,62.928,137950,-2983050,-1,43,11888,90,2622,SE_NONAME6,SE,304,15560,Garm,14665,land,False,-1,,,-1,-1
18,150767,-41.578,62.909,178350,-2983050,0,43,41306,260,5610,ICE_CAPS_SE,SE,302,43889,Apusiigajik,31323,land,False,-1,,,-1,-1
19,150771,-42.301,62.926,140650,-2983150,9,43,14376,90,1106,SE_NONAME6,SE,304,18180,Garm,15390,land,False,-1,,,-1,-1
20,150808,-41.591,62.903,177750,-2983850,0,43,41755,260,5111,ICE_CAPS_SE,SE,302,44412,Apusiigajik,32088,land,False,-1,,,-1,-1
21,150843,-42.325,62.915,139450,-2984450,8,43,13875,90,2740,SE_NONAME6,SE,304,16788,Garm,16319,land,False,-1,,,-1,-1
22,150845,-41.722,62.901,170950,-2984450,-1,43,39848,260,1845,ICE_CAPS_SE,SE,302,43033,Apusiigajik,33076,land,False,-1,,,-1,-1
23,150858,-41.718,62.899,171150,-2984650,-1,43,40097,260,1924,ICE_CAPS_SE,SE,302,43272,Apusiigajik,33242,land,False,-1,,,-1,-1
24,150861,-42.448,62.915,133050,-2984750,14,43,9137,90,0,SE_NONAME6,SE,304,10415,Heimdal Gletsjer,12435,land,False,-1,,,-1,-1
25,150878,-42.385,62.912,136350,-2984950,12,43,11600,90,3116,SE_NONAME6,SE,304,13650,Heimdal Gletsjer,15692,land,False,-1,,,-1,-1
26,150886,-42.387,62.910,136250,-2985150,4,43,11652,90,3027,SE_NONAME6,SE,304,13527,Heimdal Gletsjer,15575,land,False,-1,,,-1,-1
27,150905,-42.456,62.909,132650,-2985450,-1,43,9469,90,0,SE_NONAME6,SE,304,9916,Heimdal Gletsjer,11962,land,False,-1,,,-1,-1
