index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
0,142525,-1,,,-1,-1,land,-87,63.867,-41.472,False,177150,-2873650
1,142530,-1,,,-1,-1,land,-1,63.864,-41.451,False,178250,-2873850
2,142541,-1,,,-1,-1,land,58,63.862,-41.515,False,175050,-2874350
3,142543,-1,,,-1,-1,land,-1,63.859,-41.450,False,178350,-2874450
4,142553,-1,,,-1,-1,land,-32,63.851,-41.447,False,178550,-2875350
5,142557,-1,,,-1,-1,land,-1,63.849,-41.443,False,178750,-2875550
6,142565,-1,,,-1,-1,land,226,63.843,-41.382,False,181850,-2876050
7,142576,-1,,,-1,-1,land,7,63.841,-41.504,False,175750,-2876650
8,142584,-1,,,-1,-1,land,81,63.836,-41.407,False,180650,-2876950
9,142590,-1,,,-1,-1,land,6,63.838,-41.538,False,174050,-2877150
10,142602,-1,,,-1,-1,land,1086,63.834,-41.567,False,172650,-2877650
11,142604,-1,,,-1,-1,land,16,63.829,-41.408,False,180650,-2877750
12,142610,-1,,,-1,-1,land,287,63.827,-41.396,False,181250,-2877950
13,142628,-1,,,-1,-1,land,18,63.825,-41.502,False,175950,-2878450
14,142723,-1,,,-1,-1,land,-52,63.808,-41.415,False,180450,-2880150
15,142734,-1,,,-1,-1,land,-129,63.812,-41.643,False,168950,-2880350
16,142750,-1,,,-1,-1,land,9,63.807,-41.526,False,174850,-2880550
17,142751,-1,,,-1,-1,land,265,63.804,-41.390,False,181750,-2880550
18,142757,-1,,,-1,-1,land,24,63.806,-41.533,False,174550,-2880750
19,142769,-1,,,-1,-1,land,-474,63.806,-41.670,False,167650,-2881150
20,142770,-1,,,-1,-1,land,-1,63.804,-41.612,False,170550,-2881150
21,142771,-1,,,-1,-1,land,-1,63.803,-41.557,False,173350,-2881150
22,142793,-1,,,-1,-1,land,-8,63.800,-41.593,False,171550,-2881550
23,142801,-1,,,-1,-1,land,-116,63.793,-41.401,False,181250,-2881750
24,142817,-1,,,-1,-1,land,-31,63.795,-41.689,False,166750,-2882450
25,142842,-1,,,-1,-1,land,-50,63.779,-41.387,False,182050,-2883350
26,142870,-1,,,-1,-1,land,33,63.766,-41.341,False,184450,-2884650
27,142871,-1,,,-1,-1,land,47,63.775,-41.690,False,166850,-2884750
28,142880,-1,,,-1,-1,land,28,63.763,-41.328,False,185150,-2884950
29,142883,-1,,,-1,-1,land,18,63.762,-41.324,False,185350,-2885050
30,142895,-1,,,-1,-1,land,379,63.755,-41.178,False,192750,-2885350
31,142898,-1,,,-1,-1,land,23,63.769,-41.689,False,166950,-2885450
32,142904,-1,,,-1,-1,land,339,63.754,-41.194,False,191950,-2885550
33,142928,-1,,,-1,-1,land,42,63.753,-41.258,False,188750,-2885850
34,142935,-1,,,-1,-1,land,8,63.753,-41.274,False,187950,-2885950
35,142941,-1,,,-1,-1,land,3,63.759,-41.515,False,175750,-2886050
36,142944,-1,,,-1,-1,land,-1,63.751,-41.228,False,190250,-2886050
37,142971,-1,,,-1,-1,land,-1,63.755,-41.557,False,173650,-2886650
38,142972,-1,,,-1,-1,land,-48,63.752,-41.447,False,179250,-2886650
39,142977,-1,,,-1,-1,land,-68,63.755,-41.637,False,169650,-2886850
40,142992,-1,,,-1,-1,land,-1,63.740,-41.210,False,191250,-2887150
41,142993,-1,,,-1,-1,land,9,63.740,-41.181,False,192750,-2887150
42,142994,-1,,,-1,-1,land,15,63.739,-41.167,False,193450,-2887150
43,143019,-1,,,-1,-1,land,156,63.743,-41.476,False,177850,-2887750
44,143052,-1,,,-1,-1,land,10,63.736,-41.415,False,180950,-2888350
45,143054,-1,,,-1,-1,land,-12,63.727,-41.125,False,195650,-2888350
46,143055,-1,,,-1,-1,land,-1,63.712,-40.637,False,220350,-2888350
47,143068,-1,,,-1,-1,land,12,63.725,-41.103,False,196750,-2888550
48,143073,-1,,,-1,-1,land,6,63.733,-41.408,False,181350,-2888650
49,143074,-1,,,-1,-1,land,-74,63.733,-41.406,False,181450,-2888650
50,143086,-1,,,-1,-1,land,2,63.736,-41.570,False,173150,-2888850
51,143105,-1,,,-1,-1,land,-1,63.705,-40.639,False,220350,-2889150
52,143108,-1,,,-1,-1,land,4,63.726,-41.359,False,183850,-2889250
53,143109,-1,,,-1,-1,land,-155,63.723,-41.250,False,189350,-2889250
54,143136,-1,,,-1,-1,land,172,63.729,-41.581,False,172650,-2889650
55,143141,-1,,,-1,-1,land,-1,63.702,-40.700,False,217250,-2889650
56,143147,-1,,,-1,-1,land,33,63.713,-41.054,False,199350,-2889750
57,143150,-1,,,-1,-1,land,13,63.720,-41.340,False,184850,-2889850
58,143155,-1,,,-1,-1,land,13,63.712,-41.048,False,199650,-2889850
59,143174,-1,,,-1,-1,land,-155,63.719,-41.334,False,185150,-2890050
60,143180,-1,,,-1,-1,land,-55,63.709,-41.044,False,199850,-2890150
61,143190,-1,,,-1,-1,land,-1,63.698,-40.711,False,216750,-2890250
62,143206,-1,,,-1,-1,land,-1,63.693,-40.631,False,220850,-2890450
63,143227,-1,,,-1,-1,land,-1,63.703,-41.027,False,200750,-2890750
64,143277,-1,,,-1,-1,land,1,63.682,-40.557,False,224650,-2891450
65,143283,-1,,,-1,-1,land,17,63.687,-40.723,False,216250,-2891550
66,143291,-1,,,-1,-1,land,3,63.694,-40.973,False,203550,-2891650
67,143294,-1,,,-1,-1,land,7,63.682,-40.605,False,222250,-2891650
68,143317,-1,,,-1,-1,land,-53,63.690,-40.932,False,205650,-2891950
69,143318,-1,,,-1,-1,land,-44,63.689,-40.917,False,206450,-2891950
70,143324,-1,,,-1,-1,land,7,63.690,-40.958,False,204350,-2892050
71,143328,-1,,,-1,-1,land,-1,63.682,-40.706,False,217150,-2892050
72,143370,-1,,,-1,-1,land,-40,63.681,-40.863,False,209250,-2892650
73,143372,-1,,,-1,-1,land,-25,63.681,-40.855,False,209650,-2892650
74,143379,-1,,,-1,-1,land,12,63.677,-40.741,False,215450,-2892750
75,143402,-1,,,-1,-1,land,-51,63.687,-41.129,False,195750,-2892950
76,143420,-1,,,-1,-1,land,11,63.676,-40.818,False,211550,-2893150
77,143421,-1,,,-1,-1,land,-33,63.675,-40.808,False,212050,-2893150
78,143434,-1,,,-1,-1,land,44,63.673,-40.789,False,213050,-2893350
79,143441,-1,,,-1,-1,land,2,63.671,-40.761,False,214450,-2893450
80,143445,-1,,,-1,-1,land,16,63.686,-41.258,False,189250,-2893550
81,143448,-1,,,-1,-1,land,17,63.681,-41.090,False,197750,-2893550
82,143486,-1,,,-1,-1,land,73,63.679,-41.140,False,195250,-2893950
83,143490,-1,,,-1,-1,land,-48,63.680,-41.223,False,191050,-2894050
84,143503,-1,,,-1,-1,land,-1,63.677,-41.186,False,192950,-2894250
85,143512,-1,,,-1,-1,land,15,63.672,-41.070,False,198850,-2894450
86,143516,-1,,,-1,-1,land,5,63.674,-41.163,False,194150,-2894550
87,143522,-1,,,-1,-1,land,8,63.670,-41.064,False,199150,-2894650
88,143533,-1,,,-1,-1,land,11,63.668,-41.023,False,201250,-2894750
89,143534,-1,,,-1,-1,land,-81,63.668,-41.011,False,201850,-2894750
90,143545,-1,,,-1,-1,land,-107,63.666,-41.000,False,202450,-2894850
91,143558,-1,,,-1,-1,land,-179,63.662,-40.951,False,204950,-2895150
92,143585,-1,,,-1,-1,land,198,63.661,-41.044,False,200250,-2895650
93,143699,-1,,,-1,-1,land,6,63.640,-40.790,False,213250,-2897050
94,143728,-1,,,-1,-1,land,8,63.638,-40.826,False,211450,-2897450
95,143754,-1,,,-1,-1,land,7,63.637,-40.891,False,208150,-2897750
96,143757,-1,,,-1,-1,land,5,63.633,-40.766,False,214550,-2897750
97,143789,-1,,,-1,-1,land,-1,63.625,-40.658,False,220050,-2898250
98,143837,-1,,,-1,-1,land,4,63.625,-40.880,False,208850,-2899150
99,143857,-1,,,-1,-1,land,-1,63.621,-40.854,False,210150,-2899450
100,143858,-1,,,-1,-1,land,-1,63.616,-40.699,False,218050,-2899450
101,143904,-1,,,-1,-1,land,19,63.613,-40.876,False,209150,-2900450
102,143907,-1,,,-1,-1,land,-1,63.612,-40.846,False,210650,-2900450
