index,id,lon,lat,x,y,elev,Z2012_sector,Z2012_sector_dist,M2019_ID,M2019_ID_dist,M2019_basin,M2019_region,M2020_gate,M2020_gate_dist,B2015_name,B2015_dist,domain,upstream,coast_id,coast_lon,coast_lat,coast_x,coast_y
0,95591,-30.993,68.214,577950,-2316750,-1,32,768,101,0,UNNAMED_SORGENFRI_W,CE,193,13950,Schelderup Gletsjer,5427,land,False,-1,,,-1,-1
1,95674,-31.017,68.210,577050,-2317350,0,32,1067,101,870,UNNAMED_SORGENFRI_W,CE,193,14580,Schelderup Gletsjer,6285,land,False,-1,,,-1,-1
2,95708,-31.023,68.208,576850,-2317650,-1,32,1310,101,1226,UNNAMED_SORGENFRI_W,CE,193,14894,Schelderup Gletsjer,6638,land,False,-1,,,-1,-1
3,95820,-31.059,68.200,575650,-2318950,2,32,2312,101,2964,UNNAMED_SORGENFRI_W,CE,193,16320,Schelderup Gletsjer,8322,land,False,-1,,,-1,-1
4,95855,-31.147,68.205,571950,-2319250,1,32,4369,256,1975,ICE_CAPS_CE,CE,193,17527,Schelderup Gletsjer,10734,land,False,-1,,,-1,-1
5,95882,-31.125,68.201,572950,-2319450,3,32,3762,256,1662,ICE_CAPS_CE,CE,193,17398,Schelderup Gletsjer,10221,land,False,-1,,,-1,-1
6,95883,-31.115,68.200,573350,-2319450,5,32,3508,256,1770,ICE_CAPS_CE,CE,193,17287,Schelderup Gletsjer,9973,land,False,-1,,,-1,-1
7,95895,-31.167,68.204,571150,-2319550,4,32,5195,256,1926,ICE_CAPS_CE,CE,193,18096,Schelderup Gletsjer,11511,land,False,-1,,,-1,-1
8,95949,-31.177,68.200,570850,-2320050,4,32,5729,256,1587,ICE_CAPS_CE,CE,197,18263,Schelderup Gletsjer,12076,land,False,-1,,,-1,-1
9,96062,-31.153,68.192,572050,-2320750,-1,32,5334,256,708,ICE_CAPS_CE,CE,193,18910,Schelderup Gletsjer,11798,land,False,-1,,,-1,-1
10,96063,-31.139,68.191,572650,-2320750,-1,32,4973,256,339,ICE_CAPS_CE,CE,193,18730,Schelderup Gletsjer,11434,land,False,-1,,,-1,-1
11,96078,-31.012,68.178,578150,-2320850,-1,32,4729,101,1490,UNNAMED_SORGENFRI_W,CE,193,18050,Schelderup Gletsjer,9413,land,False,-1,,,-1,-1
12,96184,-31.099,68.180,574550,-2321450,25,32,4889,256,1475,ICE_CAPS_CE,CE,193,18966,Schelderup Gletsjer,11050,land,False,-1,,,-1,-1
13,96244,-30.999,68.167,578950,-2321850,31,32,5893,101,1314,UNNAMED_SORGENFRI_W,CE,193,19064,Schelderup Gletsjer,10340,land,False,-1,,,-1,-1
14,96389,-31.067,68.165,576250,-2322850,-1,32,6254,256,1593,ICE_CAPS_CE,CE,193,20126,Schelderup Gletsjer,11759,land,False,-1,,,-1,-1
15,96487,-31.055,68.158,576950,-2323450,10,32,6965,256,1968,ICE_CAPS_CE,CE,193,20676,Schelderup Gletsjer,12179,land,False,-1,,,-1,-1
16,96704,-30.945,68.137,581950,-2324650,5,32,9610,101,1576,UNNAMED_SORGENFRI_W,CE,193,22169,Schelderup Gletsjer,13376,land,False,-1,,,-1,-1
17,96765,-30.936,68.133,582450,-2324950,41,32,10113,101,1800,UNNAMED_SORGENFRI_W,CE,193,22554,Schelderup Gletsjer,13772,land,False,-1,,,-1,-1
18,96905,-30.925,68.127,583050,-2325550,30,32,10932,101,1725,UNNAMED_SORGENFRI_W,CE,193,23261,Schelderup Gletsjer,14497,land,False,-1,,,-1,-1
19,97051,-31.066,68.134,577150,-2326150,6,32,9653,256,1647,ICE_CAPS_CE,CE,193,23365,Schelderup Gletsjer,14802,land,False,-1,,,-1,-1
20,97055,-30.910,68.120,583850,-2326150,-1,32,11862,101,1833,UNNAMED_SORGENFRI_W,CE,193,24023,Schelderup Gletsjer,15292,land,False,-1,,,-1,-1
21,97075,-31.094,68.136,575950,-2326250,1,32,9616,256,717,ICE_CAPS_CE,CE,193,23539,Schelderup Gletsjer,15128,land,False,-1,,,-1,-1
22,97076,-31.089,68.135,576150,-2326250,0,32,9629,256,836,ICE_CAPS_CE,CE,193,23522,Schelderup Gletsjer,15084,land,False,-1,,,-1,-1
23,97198,-31.135,68.134,574350,-2326850,-1,32,10264,256,0,ICE_CAPS_CE,CE,193,24325,Schelderup Gletsjer,16140,land,False,-1,,,-1,-1
24,97293,-31.082,68.125,576750,-2327350,13,32,10781,256,1030,ICE_CAPS_CE,CE,193,24581,Schelderup Gletsjer,16050,land,False,-1,,,-1,-1
25,97295,-30.980,68.115,581150,-2327350,16,32,11793,256,3848,ICE_CAPS_CE,CE,193,24726,Schelderup Gletsjer,15927,land,False,-1,,,-1,-1
26,97326,-31.064,68.122,577550,-2327450,42,32,11004,256,1729,ICE_CAPS_CE,CE,193,24654,Schelderup Gletsjer,16037,land,False,-1,,,-1,-1
27,97375,-30.891,68.104,585050,-2327650,-1,32,13774,101,2519,UNNAMED_SORGENFRI_W,CE,193,25776,Schelderup Gletsjer,17091,land,False,-1,,,-1,-1
28,97908,-30.956,68.088,582850,-2330050,-1,32,14908,256,3329,ICE_CAPS_CE,CE,193,27643,Schelderup Gletsjer,18849,land,False,-1,,,-1,-1
29,98168,-30.994,68.080,581550,-2331350,-1,32,15742,256,1666,ICE_CAPS_CE,CE,193,28745,Schelderup Gletsjer,19946,land,False,-1,,,-1,-1
30,62881,-30.990,68.211,578150,-2317050,-1,32,1128,101,0,UNNAMED_SORGENFRI_W,CE,193,14250,Schelderup Gletsjer,5669,ice,False,96704,-30.945,68.137,581950,-2324650
31,62914,-31.083,68.215,574250,-2317550,565,32,1509,101,1300,UNNAMED_SORGENFRI_W,CE,193,15219,Schelderup Gletsjer,7929,ice,False,95883,-31.115,68.200,573350,-2319450
32,63151,-31.185,68.196,570650,-2320650,57,32,6257,256,1277,ICE_CAPS_CE,CE,197,18437,Schelderup Gletsjer,12645,ice,False,95949,-31.177,68.200,570850,-2320050
33,63152,-30.971,68.176,579850,-2320650,576,32,5092,101,713,UNNAMED_SORGENFRI_W,CE,193,17926,Schelderup Gletsjer,9141,ice,False,96704,-30.945,68.137,581950,-2324650
34,63196,-31.141,68.187,572650,-2321150,-1,32,5307,256,0,ICE_CAPS_CE,CE,193,19114,Schelderup Gletsjer,11759,ice,False,96063,-31.139,68.191,572650,-2320750
35,63218,-31.164,68.186,571750,-2321450,226,32,6068,256,0,ICE_CAPS_CE,CE,193,19669,Schelderup Gletsjer,12534,ice,False,96062,-31.153,68.192,572050,-2320750
36,63249,-31.101,68.178,574550,-2321750,142,32,5184,256,1411,ICE_CAPS_CE,CE,193,19261,Schelderup Gletsjer,11321,ice,False,96184,-31.099,68.180,574550,-2321450
37,63303,-30.947,68.157,581350,-2322450,466,32,7400,101,24,UNNAMED_SORGENFRI_W,CE,193,19900,Schelderup Gletsjer,11103,ice,False,96704,-30.945,68.137,581950,-2324650
38,63315,-31.085,68.168,575450,-2322650,360,32,6004,256,1050,ICE_CAPS_CE,CE,193,20013,Schelderup Gletsjer,11809,ice,False,96184,-31.099,68.180,574550,-2321450
39,63387,-31.080,68.160,575850,-2323450,395,32,6815,256,1048,ICE_CAPS_CE,CE,193,20761,Schelderup Gletsjer,12446,ice,False,96389,-31.067,68.165,576250,-2322850
40,63396,-30.935,68.145,582150,-2323650,514,32,8841,101,807,UNNAMED_SORGENFRI_W,CE,193,21220,Schelderup Gletsjer,12438,ice,False,96704,-30.945,68.137,581950,-2324650
41,63399,-31.073,68.157,576250,-2323750,389,32,7148,256,1230,ICE_CAPS_CE,CE,193,21022,Schelderup Gletsjer,12629,ice,False,96389,-31.067,68.165,576250,-2322850
42,63431,-31.059,68.151,576950,-2324250,375,32,7749,256,1582,ICE_CAPS_CE,CE,193,21475,Schelderup Gletsjer,12963,ice,False,96487,-31.055,68.158,576950,-2323450
43,63438,-30.923,68.137,582850,-2324350,510,32,9808,101,1136,UNNAMED_SORGENFRI_W,CE,193,22045,Schelderup Gletsjer,13286,ice,False,96765,-30.936,68.133,582450,-2324950
44,63486,-30.901,68.129,583950,-2325050,381,32,11009,101,811,UNNAMED_SORGENFRI_W,CE,193,22980,Schelderup Gletsjer,14275,ice,False,96905,-30.925,68.127,583050,-2325550
45,63505,-31.101,68.144,575450,-2325450,284,32,8804,256,4,ICE_CAPS_CE,CE,193,22793,Schelderup Gletsjer,14479,ice,False,97075,-31.094,68.136,575950,-2326250
46,63533,-30.902,68.121,584150,-2325950,204,32,11860,101,1500,UNNAMED_SORGENFRI_W,CE,193,23902,Schelderup Gletsjer,15192,ice,False,97055,-30.910,68.120,583850,-2326150
47,63554,-30.897,68.113,584550,-2326750,143,32,12747,101,2002,UNNAMED_SORGENFRI_W,CE,193,24777,Schelderup Gletsjer,16078,ice,False,97055,-30.910,68.120,583850,-2326150
48,63560,-31.135,68.134,574350,-2326850,-1,32,10264,256,0,ICE_CAPS_CE,CE,193,24325,Schelderup Gletsjer,16140,ice,False,97198,-31.135,68.134,574350,-2326850
49,63581,-31.082,68.125,576750,-2327350,13,32,10781,256,1030,ICE_CAPS_CE,CE,193,24581,Schelderup Gletsjer,16050,ice,False,97293,-31.082,68.125,576750,-2327350
50,63586,-30.980,68.114,581150,-2327450,-1,32,11888,256,3786,ICE_CAPS_CE,CE,193,24825,Schelderup Gletsjer,16026,ice,False,97295,-30.980,68.115,581150,-2327350
51,63591,-31.055,68.120,577950,-2327550,-1,32,11185,256,1824,ICE_CAPS_CE,CE,193,24750,Schelderup Gletsjer,16095,ice,False,97326,-31.064,68.122,577550,-2327450
52,63597,-30.889,68.104,585150,-2327650,-1,32,13829,101,2479,UNNAMED_SORGENFRI_W,CE,193,25803,Schelderup Gletsjer,17125,ice,False,97375,-30.891,68.104,585050,-2327650
53,63605,-30.881,68.100,585550,-2327950,11,32,14301,101,2645,UNNAMED_SORGENFRI_W,CE,193,26202,Schelderup Gletsjer,17544,ice,False,97375,-30.891,68.104,585050,-2327650
54,63606,-30.974,68.108,581550,-2328050,31,32,12583,256,3801,ICE_CAPS_CE,CE,193,25471,Schelderup Gletsjer,16669,ice,False,97295,-30.980,68.115,581150,-2327350
55,63613,-30.983,68.106,581250,-2328350,202,32,12776,256,3399,ICE_CAPS_CE,CE,193,25731,Schelderup Gletsjer,16931,ice,False,97295,-30.980,68.115,581150,-2327350
56,63616,-30.970,68.104,581850,-2328450,147,32,13060,256,3701,ICE_CAPS_CE,CE,193,25908,Schelderup Gletsjer,17107,ice,False,97295,-30.980,68.115,581150,-2327350
57,63620,-30.984,68.105,581250,-2328550,225,32,12967,256,3320,ICE_CAPS_CE,CE,193,25930,Schelderup Gletsjer,17130,ice,False,97295,-30.980,68.115,581150,-2327350
58,63623,-30.978,68.103,581550,-2328650,305,32,13152,256,3377,ICE_CAPS_CE,CE,193,26066,Schelderup Gletsjer,17265,ice,False,97295,-30.980,68.115,581150,-2327350
59,63624,-30.955,68.101,582550,-2328650,35,32,13496,256,3962,ICE_CAPS_CE,CE,193,26213,Schelderup Gletsjer,17417,ice,False,98168,-30.994,68.080,581550,-2331350
60,63629,-30.963,68.100,582250,-2328850,199,32,13573,256,3614,ICE_CAPS_CE,CE,193,26362,Schelderup Gletsjer,17563,ice,False,98168,-30.994,68.080,581550,-2331350
61,63632,-30.968,68.099,582050,-2328950,358,32,13598,256,3409,ICE_CAPS_CE,CE,193,26431,Schelderup Gletsjer,17630,ice,False,98168,-30.994,68.080,581550,-2331350
62,63633,-30.954,68.098,582650,-2328950,1,32,13811,256,3815,ICE_CAPS_CE,CE,193,26525,Schelderup Gletsjer,17731,ice,False,97908,-30.956,68.088,582850,-2330050
63,63637,-30.973,68.099,581850,-2329050,397,32,13627,256,3207,ICE_CAPS_CE,CE,193,26502,Schelderup Gletsjer,17701,ice,False,98168,-30.994,68.080,581550,-2331350
64,63643,-31.012,68.100,580250,-2329350,408,32,13485,256,2128,ICE_CAPS_CE,CE,193,26629,Schelderup Gletsjer,17850,ice,False,98168,-30.994,68.080,581550,-2331350
65,63646,-30.969,68.095,582150,-2329450,585,32,14103,256,3108,ICE_CAPS_CE,CE,193,26941,Schelderup Gletsjer,18140,ice,False,98168,-30.994,68.080,581550,-2331350
66,63649,-30.946,68.092,583150,-2329550,73,32,14557,256,3839,ICE_CAPS_CE,CE,193,27204,Schelderup Gletsjer,18416,ice,False,97908,-30.956,68.088,582850,-2330050
67,63652,-30.951,68.091,582950,-2329650,328,32,14573,256,3616,ICE_CAPS_CE,CE,193,27266,Schelderup Gletsjer,18475,ice,False,97908,-30.956,68.088,582850,-2330050
68,63687,-30.933,68.085,583850,-2330150,33,32,15387,256,4204,ICE_CAPS_CE,CE,193,27927,Schelderup Gletsjer,19154,ice,False,97908,-30.956,68.088,582850,-2330050
69,63691,-30.943,68.085,583450,-2330250,20,32,15318,256,3795,ICE_CAPS_CE,CE,193,27947,Schelderup Gletsjer,19163,ice,False,97908,-30.956,68.088,582850,-2330050
70,63745,-30.970,68.078,582550,-2331350,29,32,16030,256,2659,ICE_CAPS_CE,CE,193,28879,Schelderup Gletsjer,20079,ice,False,97908,-30.956,68.088,582850,-2330050
71,63753,-30.994,68.079,581550,-2331450,-1,32,15839,256,1654,ICE_CAPS_CE,CE,193,28845,Schelderup Gletsjer,20046,ice,False,98168,-30.994,68.080,581550,-2331350
72,63758,-31.034,68.082,579850,-2331550,392,32,15523,256,33,ICE_CAPS_CE,CE,193,28797,Schelderup Gletsjer,20035,ice,False,98168,-30.994,68.080,581550,-2331350

