index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
0,163196,-1,,,-1,-1,land,28,61.127,-43.145,False,103350,-3191250
1,163206,-1,,,-1,-1,land,61,61.132,-43.556,False,80450,-3191350
2,163208,-1,,,-1,-1,land,12,61.132,-43.527,False,82050,-3191350
3,163210,-1,,,-1,-1,land,30,61.132,-43.493,False,83950,-3191350
4,163212,-1,,,-1,-1,land,38,61.131,-43.488,False,84250,-3191350
5,163229,-1,,,-1,-1,land,17,61.131,-43.570,False,79650,-3191550
6,163230,-1,,,-1,-1,land,55,61.131,-43.563,False,80050,-3191550
7,163245,-1,,,-1,-1,land,-48,61.130,-43.585,False,78850,-3191650
8,163246,-1,,,-1,-1,land,-63,61.129,-43.465,False,85550,-3191650
9,163247,-1,,,-1,-1,land,-49,61.124,-43.161,False,102450,-3191650
10,163249,-1,,,-1,-1,land,4,61.124,-43.131,False,104150,-3191650
11,163267,-1,,,-1,-1,land,10,61.124,-43.174,False,101750,-3191750
12,163278,-1,,,-1,-1,land,113,61.129,-43.601,False,77950,-3191850
13,163279,-1,,,-1,-1,land,39,61.126,-43.438,False,87050,-3191850
14,163280,-1,,,-1,-1,land,87,61.122,-43.119,False,104850,-3191850
15,163282,-1,,,-1,-1,land,0,61.119,-42.930,False,115350,-3191850
16,163283,-1,,,-1,-1,land,4,61.118,-42.912,False,116350,-3191850
17,163299,-1,,,-1,-1,land,-1,61.117,-42.882,False,118050,-3191950
18,163308,-1,,,-1,-1,land,-105,61.125,-43.422,False,87950,-3192050
19,163339,-1,,,-1,-1,land,4,61.119,-43.182,False,101350,-3192250
20,163343,-1,,,-1,-1,land,3,61.113,-42.816,False,121750,-3192250
21,163368,-1,,,-1,-1,land,48,61.124,-43.639,False,75850,-3192450
22,163372,-1,,,-1,-1,land,3,61.112,-42.859,False,119350,-3192450
23,163397,-1,,,-1,-1,land,-11,61.120,-43.384,False,90050,-3192550
24,163398,-1,,,-1,-1,land,18,61.118,-43.241,False,98050,-3192550
25,163401,-1,,,-1,-1,land,6,61.117,-43.203,False,100150,-3192550
26,163447,-1,,,-1,-1,land,38,61.118,-43.374,False,90650,-3192750
27,163459,-1,,,-1,-1,land,25,61.113,-43.081,False,106950,-3192850
28,163460,-1,,,-1,-1,land,1,61.112,-43.060,False,108150,-3192850
29,163476,-1,,,-1,-1,land,-76,61.112,-43.101,False,105850,-3192950
30,163479,-1,,,-1,-1,land,-31,61.111,-43.049,False,108750,-3192950
31,163490,-1,,,-1,-1,land,-159,61.117,-43.524,False,82250,-3193050
32,163504,-1,,,-1,-1,land,6,61.116,-43.510,False,83050,-3193150
33,163505,-1,,,-1,-1,land,6,61.114,-43.354,False,91750,-3193150
34,163520,-1,,,-1,-1,land,1,61.105,-42.818,False,121650,-3193250
35,163535,-1,,,-1,-1,land,6,61.112,-43.317,False,93850,-3193350
36,163539,-1,,,-1,-1,land,27,61.102,-42.706,False,127950,-3193350
37,163554,-1,,,-1,-1,land,-645,61.115,-43.648,False,75350,-3193450
38,163556,-1,,,-1,-1,land,10,61.114,-43.587,False,78750,-3193450
39,163560,-1,,,-1,-1,land,6,61.113,-43.474,False,85050,-3193450
40,163562,-1,,,-1,-1,land,-43,61.110,-43.268,False,96550,-3193450
41,163563,-1,,,-1,-1,land,-58,61.107,-43.035,False,109550,-3193450
42,163565,-1,,,-1,-1,land,-1,61.101,-42.720,False,127150,-3193450
43,163576,-1,,,-1,-1,land,15,61.112,-43.492,False,84050,-3193550
44,163577,-1,,,-1,-1,land,4,61.112,-43.466,False,85550,-3193550
45,163580,-1,,,-1,-1,land,2,61.109,-43.274,False,96250,-3193550
46,163582,-1,,,-1,-1,land,20,61.105,-42.996,False,111750,-3193550
47,163598,-1,,,-1,-1,land,-1,61.099,-42.720,False,127150,-3193650
48,163606,-1,,,-1,-1,land,124,61.112,-43.573,False,79550,-3193750
49,163623,-1,,,-1,-1,land,-43,61.102,-42.973,False,113050,-3193850
50,163634,-1,,,-1,-1,land,-169,61.111,-43.625,False,76650,-3193950
51,163637,-1,,,-1,-1,land,-1,61.096,-42.701,False,128250,-3193950
52,163653,-1,,,-1,-1,land,-201,61.103,-43.145,False,103450,-3194050
53,163657,-1,,,-1,-1,land,-1,61.097,-42.783,False,123650,-3194050
54,163684,-1,,,-1,-1,land,27,61.098,-42.957,False,113950,-3194250
55,163686,-1,,,-1,-1,land,46,61.098,-42.937,False,115050,-3194250
56,163690,-1,,,-1,-1,land,-1,61.093,-42.670,False,129950,-3194250
57,163707,-1,,,-1,-1,land,18,61.094,-42.760,False,124950,-3194350
58,163714,-1,,,-1,-1,land,86,61.104,-43.419,False,88150,-3194450
59,163715,-1,,,-1,-1,land,78,61.104,-43.414,False,88450,-3194450
