index,id,lon,lat,x,y,elev,Z2012_sector,Z2012_sector_dist,M2019_ID,M2019_ID_dist,M2019_basin,M2019_region,M2020_gate,M2020_gate_dist,B2015_name,B2015_dist,domain,upstream,coast_id,coast_lon,coast_lat,coast_x,coast_y
0,113407,-34.425,66.739,468650,-2510250,-1,33,1120,122,0,UNNAMED_LAUBE_S,CE,223,4839,K.J.V. Steenstrup Nordre Bræ,21051,land,False,-1,,,-1,-1
1,113415,-34.439,66.739,468050,-2510350,-1,33,1724,122,0,UNNAMED_LAUBE_S,CE,223,5439,K.J.V. Steenstrup Nordre Bræ,20675,land,False,-1,,,-1,-1
2,113478,-34.454,66.735,467450,-2510950,19,33,2495,122,97,UNNAMED_LAUBE_S,CE,218,6060,K.J.V. Steenstrup Nordre Bræ,19864,land,False,-1,,,-1,-1
3,113521,-34.418,66.728,469150,-2511350,45,33,1509,122,941,UNNAMED_LAUBE_S,CE,223,4895,K.J.V. Steenstrup Nordre Bræ,20363,land,False,-1,,,-1,-1
4,113579,-34.463,66.725,467250,-2512050,0,33,3267,122,1210,UNNAMED_LAUBE_S,CE,218,6582,K.J.V. Steenstrup Nordre Bræ,18798,land,False,-1,,,-1,-1
5,113638,-34.465,66.722,467250,-2512450,-1,33,3543,122,1609,UNNAMED_LAUBE_S,CE,218,6858,K.J.V. Steenstrup Nordre Bræ,18448,land,False,-1,,,-1,-1
6,113673,-34.417,66.717,469450,-2512650,-1,33,2407,122,2273,UNNAMED_LAUBE_S,CE,223,5515,K.J.V. Steenstrup Nordre Bræ,19447,land,False,-1,,,-1,-1
7,113750,-34.405,66.708,470150,-2513450,-1,33,2666,122,3245,UNNAMED_LAUBE_S,CE,223,5673,K.J.V. Steenstrup Nordre Bræ,19221,land,False,-1,,,-1,-1
8,113817,-34.403,66.698,470450,-2514550,-1,33,3401,122,3290,UNNAMED_LAUBE_S,CE,223,6462,K.J.V. Steenstrup Nordre Bræ,18563,land,False,-1,,,-1,-1
9,113847,-34.446,66.698,468550,-2514950,1,33,4810,96,3122,KIV_STEENSTRUP_NODRE_BRAE,CE,223,7832,K.J.V. Steenstrup Nordre Bræ,17057,land,False,-1,,,-1,-1
10,113867,-34.311,66.685,474750,-2515250,-132,33,4291,122,0,UNNAMED_LAUBE_S,CE,223,6451,K.J.V. Steenstrup Nordre Bræ,21178,land,False,-1,,,-1,-1
11,113869,-34.280,66.683,476150,-2515250,-353,33,5212,122,0,UNNAMED_LAUBE_S,CE,223,6633,K.J.V. Steenstrup Nordre Bræ,22283,land,False,-1,,,-1,-1
12,113986,-34.396,66.683,471050,-2516150,-7,33,4617,122,3587,UNNAMED_LAUBE_S,CE,223,7716,K.J.V. Steenstrup Nordre Bræ,17811,land,False,-1,,,-1,-1
13,114029,-34.385,66.679,471650,-2516550,9,33,4885,122,3303,UNNAMED_LAUBE_S,CE,223,7945,K.J.V. Steenstrup Nordre Bræ,17975,land,False,-1,,,-1,-1
14,114119,-34.392,66.673,471450,-2517250,-1,33,5607,122,3853,UNNAMED_LAUBE_S,CE,223,8672,K.J.V. Steenstrup Nordre Bræ,17363,land,False,-1,,,-1,-1
15,114156,-34.394,66.670,471450,-2517650,4,33,6002,122,4071,UNNAMED_LAUBE_S,CE,223,9062,K.J.V. Steenstrup Nordre Bræ,17104,land,False,-1,,,-1,-1
16,114177,-34.309,66.662,475350,-2517850,0,33,6844,122,2450,UNNAMED_LAUBE_S,CE,223,9081,K.J.V. Steenstrup Nordre Bræ,20152,land,False,-1,,,-1,-1
17,114187,-34.496,66.675,466850,-2517950,15,41,4682,96,0,KIV_STEENSTRUP_NODRE_BRAE,CE,223,11252,K.J.V. Steenstrup Nordre Bræ,13645,land,False,-1,,,-1,-1
18,114246,-34.268,66.651,477350,-2518650,-51,33,8568,122,3168,UNNAMED_LAUBE_S,CE,223,10226,K.J.V. Steenstrup Nordre Bræ,21490,land,False,-1,,,-1,-1
19,114277,-34.268,66.648,477450,-2519050,0,33,8952,122,3580,UNNAMED_LAUBE_S,CE,223,10638,K.J.V. Steenstrup Nordre Bræ,21397,land,False,-1,,,-1,-1
