index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
0,131424,-1,,,-1,-1,land,-325,65.193,-40.650,False,206950,-2720550
1,131431,-1,,,-1,-1,land,-194,65.192,-40.675,False,205750,-2720650
2,131474,-1,,,-1,-1,land,-202,65.187,-40.683,False,205450,-2721350
3,131485,-1,,,-1,-1,land,-34,65.183,-40.629,False,208050,-2721550
4,131495,-1,,,-1,-1,land,-17,65.181,-40.625,False,208250,-2721750
5,131503,-1,,,-1,-1,land,-200,65.182,-40.688,False,205250,-2721850
6,131515,-1,,,-1,-1,land,-22,65.180,-40.694,False,204950,-2722150
7,131520,-1,,,-1,-1,land,26,65.175,-40.615,False,208750,-2722450
8,131551,-1,,,-1,-1,land,-143,65.170,-40.686,False,205450,-2723250
9,131562,-1,,,-1,-1,land,-35,65.163,-40.596,False,209750,-2723650
10,131563,-1,,,-1,-1,land,12,65.162,-40.567,False,211150,-2723650
11,131570,-1,,,-1,-1,land,23,65.162,-40.571,False,210950,-2723750
12,131607,-1,,,-1,-1,land,23,65.157,-40.682,False,205750,-2724650
13,131612,-1,,,-1,-1,land,-37,65.156,-40.675,False,206050,-2724750
14,131626,-1,,,-1,-1,land,41,65.149,-40.546,False,212250,-2725050
15,131629,-1,,,-1,-1,land,-72,65.152,-40.664,False,206650,-2725150
16,131643,-1,,,-1,-1,land,6,65.145,-40.549,False,212150,-2725550
17,131661,-1,,,-1,-1,land,-11,65.140,-40.554,False,211950,-2726150
18,131685,-1,,,-1,-1,land,-15,65.135,-40.551,False,212150,-2726750
19,131847,-1,,,-1,-1,land,14,65.106,-40.363,False,221350,-2729250
20,131848,-1,,,-1,-1,land,20,65.106,-40.357,False,221650,-2729250
21,131885,-1,,,-1,-1,land,-1,65.106,-40.502,False,214750,-2729750
22,131904,-1,,,-1,-1,land,-1,65.099,-40.348,False,222150,-2729950
23,131945,-1,,,-1,-1,land,6,65.106,-40.640,False,208150,-2730250
24,131946,-1,,,-1,-1,land,30,65.102,-40.490,False,215350,-2730250
25,131964,-1,,,-1,-1,land,15,65.097,-40.394,False,219950,-2730350
26,132028,-1,,,-1,-1,land,-1,65.091,-40.339,False,222650,-2730850
27,132075,-1,,,-1,-1,land,-1,65.090,-40.471,False,216350,-2731450
28,132076,-1,,,-1,-1,land,-6,65.086,-40.336,False,222850,-2731450
29,132090,-1,,,-1,-1,land,21,65.095,-40.672,False,206750,-2731650
30,132133,-1,,,-1,-1,land,-1,65.086,-40.512,False,214450,-2732050
31,132208,-1,,,-1,-1,land,-1,65.079,-40.454,False,217250,-2732650
32,132210,-1,,,-1,-1,land,12,65.074,-40.311,False,224150,-2732650
33,132225,-1,,,-1,-1,land,-4,65.081,-40.553,False,212550,-2732750
34,132256,-1,,,-1,-1,land,9,65.072,-40.355,False,222050,-2733050
35,132264,-1,,,-1,-1,land,29,65.082,-40.672,False,206850,-2733150
36,132279,-1,,,-1,-1,land,-14,65.068,-40.304,False,224550,-2733350
37,132333,-1,,,-1,-1,land,-1,65.068,-40.438,False,218150,-2733850
38,132362,-1,,,-1,-1,land,5,65.063,-40.344,False,222650,-2734050
39,132412,-1,,,-1,-1,land,6,65.062,-40.428,False,218650,-2734450
40,132422,-1,,,-1,-1,land,8,65.064,-40.501,False,215150,-2734550
41,132449,-1,,,-1,-1,land,-1,65.064,-40.564,False,212150,-2734750
42,132466,-1,,,-1,-1,land,6,65.061,-40.502,False,215150,-2734850
43,132476,-1,,,-1,-1,land,6,65.066,-40.675,False,206850,-2734950
44,132502,-1,,,-1,-1,land,6,65.061,-40.573,False,211750,-2735150
45,132514,-1,,,-1,-1,land,8,65.055,-40.417,False,219250,-2735250
46,132543,-1,,,-1,-1,land,-23,65.059,-40.590,False,210950,-2735450
47,132597,-1,,,-1,-1,land,2,65.046,-40.300,False,224950,-2735850
48,132642,-1,,,-1,-1,land,-1,65.045,-40.388,False,220750,-2736250
49,132661,-1,,,-1,-1,land,3,65.047,-40.486,False,216050,-2736350
50,132744,-1,,,-1,-1,land,-1,65.039,-40.403,False,220050,-2736950
51,132785,-1,,,-1,-1,land,4,65.036,-40.375,False,221450,-2737250
52,132842,-1,,,-1,-1,land,3,65.033,-40.459,False,217450,-2737850
53,132878,-1,,,-1,-1,land,4,65.028,-40.362,False,222150,-2738050
54,132893,-1,,,-1,-1,land,-1,65.033,-40.543,False,213450,-2738150
55,132897,-1,,,-1,-1,land,2,65.024,-40.260,False,227050,-2738150
56,132977,-1,,,-1,-1,land,12,65.025,-40.490,False,216050,-2738850
57,133071,-1,,,-1,-1,land,4,65.010,-40.269,False,226750,-2739750
58,133106,-1,,,-1,-1,land,-1,65.004,-40.228,False,228750,-2740250
59,133110,-1,,,-1,-1,land,3,65.009,-40.382,False,221350,-2740350
60,133608,-1,,,-1,-1,land,16,64.955,-40.373,False,222250,-2746350
61,71656,131424,65.193,-40.650,206950,-2720550,ice,-325,65.193,-40.650,False,206950,-2720550
62,71658,131431,65.192,-40.675,205750,-2720650,ice,-194,65.192,-40.675,False,205750,-2720650
63,71672,131474,65.187,-40.683,205450,-2721350,ice,-202,65.187,-40.683,False,205450,-2721350
64,71675,131485,65.183,-40.629,208050,-2721550,ice,-34,65.183,-40.629,False,208050,-2721550
65,71679,131495,65.181,-40.625,208250,-2721750,ice,-17,65.181,-40.625,False,208250,-2721750
66,71681,131503,65.182,-40.688,205250,-2721850,ice,-200,65.182,-40.688,False,205250,-2721850
67,71684,131515,65.180,-40.694,204950,-2722150,ice,-22,65.180,-40.694,False,204950,-2722150
68,71685,131520,65.175,-40.615,208750,-2722450,ice,-6,65.176,-40.617,False,208650,-2722250
69,71694,131562,65.163,-40.596,209750,-2723650,ice,209,65.168,-40.589,False,210050,-2723050
70,71702,131563,65.162,-40.567,211150,-2723650,ice,12,65.162,-40.567,False,211150,-2723650
71,71712,131607,65.157,-40.682,205750,-2724650,ice,110,65.157,-40.690,False,205350,-2724750
72,71718,131626,65.149,-40.546,212250,-2725050,ice,41,65.149,-40.546,False,212250,-2725050
73,71719,131626,65.149,-40.546,212250,-2725050,ice,-1,65.148,-40.549,False,212150,-2725250
74,71743,131685,65.135,-40.551,212150,-2726750,ice,167,65.122,-40.472,False,216050,-2727850
75,71761,131847,65.106,-40.363,221350,-2729250,ice,14,65.106,-40.363,False,221350,-2729250
76,71762,131848,65.106,-40.357,221650,-2729250,ice,20,65.106,-40.357,False,221650,-2729250
77,71773,131904,65.099,-40.348,222150,-2729950,ice,-1,65.099,-40.348,False,222150,-2729950
78,71787,131964,65.097,-40.394,219950,-2730350,ice,34,65.098,-40.428,False,218350,-2730450
79,71794,132028,65.091,-40.339,222650,-2730850,ice,-1,65.091,-40.339,False,222650,-2730850
80,71803,132076,65.086,-40.336,222850,-2731450,ice,-6,65.086,-40.336,False,222850,-2731450
81,71829,132279,65.068,-40.304,224550,-2733350,ice,7,65.071,-40.305,False,224450,-2733050

