index,id,lon,lat,x,y,elev,Z2012_sector,Z2012_sector_dist,M2019_ID,M2019_ID_dist,M2019_basin,M2019_region,M2020_gate,M2020_gate_dist,B2015_name,B2015_dist,domain,upstream,coast_id,coast_lon,coast_lat,coast_x,coast_y
0,159538,-43.051,61.593,106750,-3137550,-394,50,5468,117,0,ANORITUUP_KANGERLUA,SE,328,5244,Sikuijivittip Apusiia,79427,land,False,-1,,,-1,-1
1,159546,-43.031,61.592,107850,-3137650,-136,50,5373,117,468,ANORITUUP_KANGERLUA,SE,328,4682,Sikuijivittip Apusiia,79036,land,False,-1,,,-1,-1
2,159556,-43.019,61.590,108550,-3137850,-70,50,5099,66,449,NAPASORSUAQ_C_S,SE,328,4559,Sikuijivittip Apusiia,78918,land,False,-1,,,-1,-1
3,159574,-43.003,61.586,109450,-3138250,21,50,4871,66,438,NAPASORSUAQ_C_S,SE,328,4710,Sikuijivittip Apusiia,78906,land,False,-1,,,-1,-1
4,159619,-42.988,61.581,110250,-3138750,-113,50,4785,66,659,NAPASORSUAQ_C_S,SE,328,5150,Sikuijivittip Apusiia,79038,land,False,-1,,,-1,-1
5,159652,-43.060,61.578,106350,-3139250,-170,50,4903,117,0,ANORITUUP_KANGERLUA,SE,329,6211,Sikuijivittip Apusiia,81129,land,False,-1,,,-1,-1
6,159682,-42.925,61.573,113750,-3139550,9,50,5137,66,0,NAPASORSUAQ_C_S,SE,328,6828,Sikuijivittip Apusiia,78448,land,False,-1,,,-1,-1
7,159700,-43.055,61.574,106650,-3139750,4,50,4601,117,212,ANORITUUP_KANGERLUA,SE,329,6326,Sikuijivittip Apusiia,81448,land,False,-1,,,-1,-1
8,159731,-42.492,61.561,137550,-3140050,4,50,5938,66,0,NAPASORSUAQ_C_S,SE,325,14673,Sikuijivittip Apusiia,73844,land,False,-1,,,-1,-1
9,159755,-42.896,61.567,115350,-3140250,-146,50,4603,66,1057,NAPASORSUAQ_C_S,SE,328,8290,Sikuijivittip Apusiia,78546,land,False,-1,,,-1,-1
10,159773,-42.871,61.564,116750,-3140450,8,50,4249,66,14,NAPASORSUAQ_C_S,SE,328,9340,Sikuijivittip Apusiia,78273,land,False,-1,,,-1,-1
11,159792,-42.860,61.562,117350,-3140650,-48,50,4349,66,302,NAPASORSUAQ_C_S,SE,328,9899,Sikuijivittip Apusiia,78272,land,False,-1,,,-1,-1
12,159799,-43.019,61.564,108650,-3140750,12,50,2981,117,1913,ANORITUUP_KANGERLUA,SE,331,7274,Sikuijivittip Apusiia,81514,land,False,-1,,,-1,-1
13,159802,-42.481,61.554,138150,-3140750,-10,50,6540,66,728,NAPASORSUAQ_C_S,SE,325,15578,Sikuijivittip Apusiia,74510,land,False,-1,,,-1,-1
14,159811,-42.844,61.560,118250,-3140850,-127,50,4559,66,535,NAPASORSUAQ_C_S,SE,328,10685,Sikuijivittip Apusiia,78184,land,False,-1,,,-1,-1
15,159815,-42.427,61.552,141150,-3140850,-1,50,9541,66,3421,NAPASORSUAQ_C_S,SE,325,18070,Sikuijivittip Apusiia,74518,land,False,-1,,,-1,-1
16,159832,-42.824,61.558,119350,-3141050,-40,50,4637,66,819,NAPASORSUAQ_C_S,SE,328,11644,Sikuijivittip Apusiia,78050,land,False,-1,,,-1,-1
17,159834,-42.516,61.552,136250,-3141050,37,50,4679,66,0,NAPASORSUAQ_C_S,SE,325,14354,Sikuijivittip Apusiia,74929,land,False,-1,,,-1,-1
18,159843,-42.795,61.557,120950,-3141150,29,50,4914,66,988,NAPASORSUAQ_C_S,SE,325,11249,Sikuijivittip Apusiia,77698,land,False,-1,,,-1,-1
19,159852,-42.995,61.560,109950,-3141250,4,50,2268,117,3120,ANORITUUP_KANGERLUA,SE,331,7374,Sikuijivittip Apusiia,81452,land,False,-1,,,-1,-1
20,159855,-42.684,61.554,127050,-3141250,-2,50,1724,66,1276,NAPASORSUAQ_C_S,SE,325,10303,Sikuijivittip Apusiia,76376,land,False,-1,,,-1,-1
21,159865,-42.744,61.554,123750,-3141350,10,50,3819,66,0,NAPASORSUAQ_C_S,SE,325,10551,Sikuijivittip Apusiia,77184,land,False,-1,,,-1,-1
22,159866,-42.739,61.554,124050,-3141350,20,50,3636,66,0,NAPASORSUAQ_C_S,SE,325,10496,Sikuijivittip Apusiia,77114,land,False,-1,,,-1,-1
23,159868,-42.538,61.550,135050,-3141350,4,50,3566,66,1097,NAPASORSUAQ_C_S,SE,325,13748,Sikuijivittip Apusiia,75328,land,False,-1,,,-1,-1
24,159877,-42.717,61.553,125250,-3141450,5,50,2982,66,411,NAPASORSUAQ_C_S,SE,325,10464,Sikuijivittip Apusiia,76942,land,False,-1,,,-1,-1
25,159878,-42.711,61.553,125550,-3141450,-81,50,2799,66,700,NAPASORSUAQ_C_S,SE,325,10452,Sikuijivittip Apusiia,76878,land,False,-1,,,-1,-1
26,159893,-42.553,61.549,134250,-3141550,10,50,2882,66,1585,NAPASORSUAQ_C_S,SE,325,13392,Sikuijivittip Apusiia,75605,land,False,-1,,,-1,-1
27,159913,-42.657,61.548,128550,-3141850,-56,50,1405,66,654,NAPASORSUAQ_C_S,SE,325,11145,Sikuijivittip Apusiia,76689,land,False,-1,,,-1,-1
