index,id,lon,lat,x,y,elev,Z2012_sector,Z2012_sector_dist,M2019_ID,M2019_ID_dist,M2019_basin,M2019_region,M2020_gate,M2020_gate_dist,B2015_name,B2015_dist,domain,upstream,coast_id,coast_lon,coast_lat,coast_x,coast_y
234,62025,-32.280,68.493,518850,-2298550,773,33,3214,252,1837,COURTAULD,CE,191,7982,Courtauld Gletsjer,15720,ice,False,93684,-32.237,68.494,520550,-2298050
235,62037,-32.281,68.488,518950,-2299150,635,33,3794,252,2388,COURTAULD,CE,191,8483,Courtauld Gletsjer,16199,ice,False,93684,-32.237,68.494,520550,-2298050
236,62042,-32.306,68.487,517950,-2299450,1262,33,4316,252,2214,COURTAULD,CE,191,9198,Courtauld Gletsjer,16949,ice,False,93684,-32.237,68.494,520550,-2298050
237,62052,-32.344,68.486,516450,-2299950,476,33,5433,252,2673,COURTAULD,CE,191,10416,Kælvegletsjer,16627,ice,False,93872,-32.368,68.484,515550,-2300350
238,62069,-32.809,68.517,497050,-2300650,121,33,3761,97,692,UNNAMED_KANGER_E,CE,194,3118,Apuseeq Qinnilik,20200,ice,False,93836,-32.790,68.524,497650,-2299750
239,62070,-32.353,68.480,516250,-2300650,354,33,6133,252,3401,COURTAULD,CE,191,11107,Kælvegletsjer,15911,ice,False,93887,-32.366,68.482,515650,-2300550
240,62100,-32.774,68.508,498650,-2301350,208,33,5335,256,66,ICE_CAPS_CE,CE,194,4005,Apuseeq Qinnilik,21946,ice,False,93847,-32.786,68.523,497850,-2299850
241,62101,-32.297,68.469,518750,-2301350,1176,33,6002,252,4275,COURTAULD,CE,191,10598,Kælvegletsjer,15662,ice,False,94008,-32.269,68.458,520150,-2302350
242,62104,-32.644,68.497,504150,-2301450,-1,33,10835,256,0,ICE_CAPS_CE,CE,194,9280,Kælvegletsjer,18388,ice,False,93970,-32.645,68.495,504150,-2301650
243,62105,-32.191,68.460,523250,-2301450,-1,33,7190,256,32,ICE_CAPS_CE,CE,191,9850,Courtauld Gletsjer,16934,ice,False,93952,-32.191,68.460,523250,-2301450
244,62120,-32.304,68.467,518550,-2301650,1225,33,6324,252,4490,COURTAULD,CE,191,10949,Kælvegletsjer,15322,ice,False,94008,-32.269,68.458,520150,-2302350
245,62128,-32.688,68.498,502350,-2301750,147,33,9052,256,0,ICE_CAPS_CE,CE,194,7455,Kælvegletsjer,19248,ice,False,93970,-32.645,68.495,504150,-2301650
246,62140,-32.304,68.463,518650,-2302150,1060,33,6808,256,4597,ICE_CAPS_CE,CE,191,11385,Kælvegletsjer,14864,ice,False,94008,-32.269,68.458,520150,-2302350
247,62144,-32.853,68.506,495550,-2302250,369,33,2498,97,0,UNNAMED_KANGER_E,CE,194,930,Apuseeq Qinnilik,19496,ice,False,93836,-32.790,68.524,497650,-2299750
248,62159,-32.765,68.494,499350,-2302850,503,33,6272,256,0,ICE_CAPS_CE,CE,194,4352,Kælvegletsjer,20557,ice,False,93847,-32.786,68.523,497850,-2299850
249,62161,-32.694,68.488,502350,-2302850,356,33,9194,256,0,ICE_CAPS_CE,CE,194,7351,Kælvegletsjer,18420,ice,False,93970,-32.645,68.495,504150,-2301650
250,62165,-32.652,68.484,504150,-2302950,355,33,10273,256,26,ICE_CAPS_CE,CE,194,9150,Kælvegletsjer,17183,ice,False,93991,-32.631,68.490,504850,-2302050
251,62169,-32.344,68.458,517150,-2303050,773,33,7989,252,5674,COURTAULD,CE,191,12778,Kælvegletsjer,13654,ice,False,94051,-32.379,68.462,515650,-2302850
252,62182,-32.673,68.482,503350,-2303350,777,33,10274,256,414,ICE_CAPS_CE,CE,194,8351,Kælvegletsjer,17382,ice,False,93970,-32.645,68.495,504150,-2301650
253,62184,-32.100,68.435,527550,-2303350,919,32,5648,256,0,ICE_CAPS_CE,CE,191,12529,Sidegletsjer,13637,ice,False,94525,-32.150,68.389,526650,-2308750
254,62193,-32.672,68.480,503450,-2303550,861,33,10249,256,314,ICE_CAPS_CE,CE,194,8457,Kælvegletsjer,17166,ice,False,93970,-32.645,68.495,504150,-2301650
255,62218,-32.642,68.472,504850,-2304150,738,33,8893,256,726,ICE_CAPS_CE,CE,194,9895,Kælvegletsjer,15807,ice,False,94070,-32.608,68.478,506050,-2303150
256,62233,-32.636,68.469,505150,-2304450,732,33,8473,256,898,ICE_CAPS_CE,CE,194,10226,Kælvegletsjer,15386,ice,False,94103,-32.596,68.473,506650,-2303650
257,62250,-32.189,68.427,524150,-2304950,291,32,7811,256,2508,ICE_CAPS_CE,CE,191,13383,Kælvegletsjer,14894,ice,False,94191,-32.210,68.429,523250,-2304950
258,62275,-32.196,68.420,524050,-2305850,207,32,7494,256,2864,ICE_CAPS_CE,CE,191,14275,Kælvegletsjer,14142,ice,False,94272,-32.210,68.421,523450,-2305850
259,62290,-32.046,68.404,530450,-2306150,1184,32,1743,256,119,ICE_CAPS_CE,CE,191,16256,Sidegletsjer,9606,ice,False,94525,-32.150,68.389,526650,-2308750
260,62305,-32.115,68.406,527650,-2306550,702,32,3977,256,0,ICE_CAPS_CE,CE,191,15598,Sidegletsjer,11592,ice,False,94525,-32.150,68.389,526650,-2308750
261,62319,-31.916,68.386,536150,-2306950,879,32,0,256,0,ICE_CAPS_CE,CE,197,15552,Sidegletsjer,5903,ice,False,94944,-32.103,68.358,529350,-2311750
262,62326,-32.110,68.402,527950,-2307050,537,32,3469,256,0,ICE_CAPS_CE,CE,191,16163,Sidegletsjer,11075,ice,False,94525,-32.150,68.389,526650,-2308750
263,62344,-31.856,68.375,538850,-2307550,723,32,172,256,0,ICE_CAPS_CE,CE,197,12786,Sidegletsjer,5334,ice,False,95571,-31.911,68.297,538650,-2316650
264,62364,-32.020,68.383,532050,-2308250,716,32,0,256,324,ICE_CAPS_CE,CE,191,18855,Sidegletsjer,7018,ice,False,94900,-32.110,68.361,528950,-2311450
265,62368,-32.557,68.427,509350,-2308350,142,33,2997,256,0,ICE_CAPS_CE,CE,194,15246,Kælvegletsjer,9756,ice,False,94448,-32.542,68.430,509850,-2307850
266,62384,-32.138,68.388,527150,-2308750,236,32,3769,256,0,ICE_CAPS_CE,CE,191,17599,Sidegletsjer,11055,ice,False,94579,-32.147,68.386,526850,-2309050
267,62388,-31.903,68.367,537150,-2308850,812,32,0,256,403,ICE_CAPS_CE,CE,197,14296,Sidegletsjer,3867,ice,False,95571,-31.911,68.297,538650,-2316650
268,62397,-32.058,68.378,530650,-2309150,718,32,403,256,861,ICE_CAPS_CE,CE,191,19065,Sidegletsjer,7693,ice,False,94900,-32.110,68.361,528950,-2311450
269,62404,-31.899,68.362,537450,-2309450,564,32,0,256,0,ICE_CAPS_CE,CE,197,13960,Sidegletsjer,3253,ice,False,95571,-31.911,68.297,538650,-2316650
270,62406,-32.072,68.375,530150,-2309650,640,32,1110,256,831,ICE_CAPS_CE,CE,191,19341,Sidegletsjer,7934,ice,False,94900,-32.110,68.361,528950,-2311450
271,62415,-32.567,68.413,509250,-2309950,345,33,1614,256,0,ICE_CAPS_CE,CE,194,15767,Kælvegletsjer,8532,ice,False,94523,-32.535,68.421,510350,-2308750
272,62416,-31.923,68.359,536550,-2309950,705,32,0,256,369,ICE_CAPS_CE,CE,197,14850,Sidegletsjer,2904,ice,False,95571,-31.911,68.297,538650,-2316650
273,62454,-31.951,68.351,535650,-2311050,830,32,21,256,26,ICE_CAPS_CE,CE,197,15772,Sidegletsjer,2461,ice,False,95571,-31.911,68.297,538650,-2316650
274,62460,-32.110,68.361,528950,-2311450,-11,32,3261,256,34,ICE_CAPS_CE,CE,191,20666,Sidegletsjer,8615,ice,False,94900,-32.110,68.361,528950,-2311450
275,62461,-31.720,68.328,545550,-2311450,745,32,0,100,604,FREDERIKSBORG_GLETSCHER,CE,197,5982,Sidegletsjer,8172,ice,False,95623,-31.779,68.283,544350,-2316950
276,62464,-32.538,68.396,510850,-2311550,423,33,49,256,1333,ICE_CAPS_CE,CE,194,17914,Kælvegletsjer,6281,ice,False,94788,-32.513,68.401,511750,-2310750
277,62474,-32.103,68.358,529350,-2311750,98,32,3297,256,0,ICE_CAPS_CE,CE,191,21067,Sidegletsjer,8179,ice,False,94944,-32.103,68.358,529350,-2311750
278,62475,-31.954,68.345,535650,-2311750,724,32,179,256,0,ICE_CAPS_CE,CE,197,15826,Sidegletsjer,2058,ice,False,95571,-31.911,68.297,538650,-2316650
