pointID,Fjord number,First observation date,Last observation date,Cumulative discharge (Gt),Cumulative error (Gt),Mean annual discharge rate (Gt/yr),Mean annual discharge rate error (Gt/yr),Mean hydroyear discharge rate (Gt/yr),Mean hydroyear discharge rate error (Gt/yr),Mean winter discharge rate (Gt/yr),Mean winter discharge rate error (Gt/yr),Mean spring discharge rate (Gt/yr),Mean spring discharge rate error (Gt/yr),Mean summer discharge rate (Gt/yr),Mean summer discharge rate error (Gt/yr),Mean autumn discharge rate (Gt/yr),Mean autumn discharge rate error (Gt/yr)
168,27,2015-01-01 00:00:00,2019-12-26 00:00:00,0.464,0.162,0.093,0.033,0.094,0.034,0.102,0.036,0.096,0.034,0.078,0.028,0.095,0.034
169,28,2015-01-01 00:00:00,2019-12-26 00:00:00,1.46,0.587,0.292,0.123,0.31,0.132,0.322,0.138,0.304,0.126,0.271,0.113,0.291,0.125
170,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
171,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
172,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
173,30,2015-02-01 00:00:00,2019-12-28 00:00:00,10.479,1.395,2.095,0.283,2.07,0.28,2.147,0.287,2.242,0.298,1.967,0.273,1.996,0.27
174,30,2015-02-01 00:00:00,2019-12-26 00:00:00,15.465,1.149,3.092,0.237,3.207,0.248,3.197,0.247,3.04,0.231,3.1,0.24,3.171,0.245
175,30,2015-01-01 00:00:00,2019-12-28 00:00:00,146.442,9.708,29.274,1.961,29.64,1.991,29.028,1.96,28.478,1.902,29.362,1.962,30.409,2.038
176,31,2015-01-30 00:00:00,2019-12-26 00:00:00,39.382,3.017,7.872,0.608,7.908,0.611,7.935,0.609,7.845,0.604,7.913,0.619,7.837,0.604
177,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
178,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,31,2015-01-01 00:00:00,2019-12-26 00:00:00,58.892,2.629,11.772,0.53,11.768,0.529,11.833,0.533,11.633,0.525,11.741,0.529,11.878,0.533
180,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
181,32,2015-01-01 00:00:00,2019-12-26 00:00:00,21.055,0.766,4.209,0.154,4.216,0.155,4.217,0.156,4.192,0.153,4.296,0.157,4.16,0.152
182,33,2015-02-01 00:00:00,2019-12-26 00:00:00,79.858,4.084,15.964,0.824,15.997,0.827,16.104,0.838,16.049,0.819,16.079,0.833,15.711,0.815
183,33,2015-02-01 00:00:00,2019-12-26 00:00:00,40.699,2.531,8.135,0.509,8.159,0.511,8.192,0.516,8.073,0.499,8.169,0.511,8.135,0.516
184,33,2015-04-01 00:00:00,2019-12-26 00:00:00,2.221,0.531,0.444,0.107,0.446,0.107,0.451,0.108,0.453,0.109,0.439,0.106,0.436,0.104
185,33,2015-04-01 00:00:00,2019-12-26 00:00:00,4.249,1.632,0.849,0.329,0.852,0.33,0.847,0.327,0.839,0.326,0.878,0.34,0.832,0.321
186,33,2015-02-15 00:00:00,2019-12-14 00:00:00,16.232,1.096,3.245,0.222,3.329,0.228,3.386,0.234,3.163,0.215,3.271,0.221,3.279,0.226
187,35,2015-02-01 00:00:00,2019-12-26 00:00:00,23.674,2.773,4.732,0.559,4.76,0.563,4.69,0.554,4.706,0.552,4.773,0.567,4.79,0.568
188,35,2015-02-01 00:00:00,2019-12-26 00:00:00,22.238,1.678,4.445,0.339,4.441,0.338,4.505,0.347,4.387,0.331,4.484,0.342,4.386,0.333
189,36,2015-01-30 00:00:00,2019-12-26 00:00:00,7.334,2.423,1.466,0.502,1.517,0.525,1.48,0.512,1.372,0.46,1.503,0.516,1.555,0.538
190,36,2015-01-01 00:00:00,2019-12-26 00:00:00,25.45,1.991,5.087,0.401,5.126,0.404,5.098,0.402,5.1,0.4,5.109,0.403,5.092,0.404
191,36,2015-01-01 00:00:00,2019-12-26 00:00:00,4.705,1.007,0.941,0.205,0.951,0.207,0.924,0.201,0.911,0.199,0.95,0.209,0.988,0.214
192,38,2015-01-01 00:00:00,2019-12-26 00:00:00,8.347,0.718,1.668,0.145,1.666,0.145,1.706,0.148,1.668,0.144,1.66,0.144,1.648,0.144
193,39,2015-01-01 00:00:00,2019-12-26 00:00:00,8.539,0.406,1.707,0.082,1.705,0.082,1.727,0.083,1.799,0.086,1.666,0.08,1.634,0.078
194,40,2015-01-01 00:00:00,2019-12-26 00:00:00,7.236,0.554,1.446,0.113,1.427,0.111,1.457,0.112,1.654,0.128,1.406,0.11,1.254,0.097
195,40,2015-01-01 00:00:00,2019-12-26 00:00:00,26.436,2.151,5.284,0.433,5.291,0.433,5.335,0.438,5.361,0.442,5.182,0.422,5.256,0.432
196,42,2015-01-15 00:00:00,2019-12-26 00:00:00,17.586,0.586,3.515,0.118,3.52,0.118,3.517,0.117,3.502,0.117,3.554,0.12,3.496,0.118
197,43,2015-01-15 00:00:00,2019-12-26 00:00:00,0.114,0.038,0.023,0.008,0.023,0.008,0.023,0.008,0.023,0.008,0.023,0.008,0.021,0.007
198,43,2015-07-01 00:00:00,2019-12-02 00:00:00,0.208,0.058,0.045,0.013,0.046,0.013,0.048,0.013,0.048,0.014,0.043,0.012,0.046,0.013
199,45,2015-01-15 00:00:00,2019-12-26 00:00:00,32.911,2.925,6.579,0.591,6.628,0.595,6.772,0.607,6.651,0.596,6.421,0.577,6.529,0.589
200,45,2015-07-01 00:00:00,2019-12-26 00:00:00,0.335,0.089,0.075,0.02,0.076,0.02,0.075,0.02,0.074,0.019,0.076,0.02,0.074,0.02
201,46,2015-01-15 00:00:00,2019-12-26 00:00:00,5.708,0.95,1.141,0.191,1.15,0.193,1.163,0.194,1.139,0.191,1.131,0.19,1.146,0.192
