Fjord number,Glacier numbers,First discharge date,Last discharge date,Cumulative discharge (Gt),Cumulative error (Gt),Mean annual discharge rate (Gt/yr),Mean annual discharge rate error (Gt/yr),Mean hydroyear discharge rate (Gt/yr),Mean hydroyear discharge rate error (Gt/yr),Mean winter discharge rate (Gt/yr),Mean winter discharge rate error (Gt/yr),Mean spring discharge rate (Gt/yr),Mean spring discharge rate error (Gt/yr),Mean summer discharge rate (Gt/yr),Mean summer discharge rate error (Gt/yr),Mean autumn discharge rate (Gt/yr),Mean autumn discharge rate error (Gt/yr)
35,"[187, 188, 211]",2015-04-01 00:00:00,2019-12-26 00:00:00,47.702,3.265,9.535,0.658,9.561,0.66,9.547,0.657,9.453,0.648,9.63,0.666,9.524,0.663
36,"[189, 190, 191]",2015-02-01 00:00:00,2019-12-26 00:00:00,37.49,3.316,7.494,0.674,7.594,0.694,7.502,0.681,7.383,0.641,7.563,0.687,7.635,0.706
37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,[192],2015-01-01 00:00:00,2019-12-26 00:00:00,8.347,0.718,1.668,0.145,1.666,0.145,1.706,0.148,1.668,0.144,1.66,0.144,1.648,0.144
39,[193],2015-01-01 00:00:00,2019-12-26 00:00:00,8.539,0.406,1.707,0.082,1.705,0.082,1.727,0.083,1.799,0.086,1.666,0.08,1.634,0.078
40,"[194, 195]",2015-01-01 00:00:00,2019-12-26 00:00:00,33.672,2.224,6.731,0.448,6.718,0.447,6.791,0.452,7.015,0.46,6.587,0.436,6.51,0.443
41,"[212, 317, 318, 319]",2015-02-01 00:00:00,2019-12-26 00:00:00,36.148,2.031,7.226,0.409,7.268,0.411,7.171,0.403,7.177,0.406,7.353,0.419,7.266,0.411
42,"[196, 213, 804]",2015-01-15 00:00:00,2019-12-26 00:00:00,22.999,0.602,4.597,0.121,4.608,0.121,4.59,0.12,4.584,0.12,4.657,0.123,4.576,0.121
43,"[197, 198, 214]",2015-07-01 00:00:00,2019-10-27 00:00:00,3.738,0.356,0.835,0.08,0.834,0.08,0.858,0.082,0.798,0.077,0.805,0.078,0.855,0.082
44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,"[199, 200, 320]",2015-07-01 00:00:00,2019-12-26 00:00:00,32.606,2.821,7.173,0.626,7.223,0.63,7.54,0.657,7.366,0.643,7.006,0.611,7.146,0.626
46,[201],2015-01-15 00:00:00,2019-12-26 00:00:00,5.708,0.95,1.141,0.191,1.15,0.193,1.163,0.194,1.139,0.191,1.131,0.19,1.146,0.192
47,[215],2015-01-15 00:00:00,2019-12-26 00:00:00,9.732,0.512,1.945,0.103,1.957,0.104,1.961,0.104,1.938,0.103,1.921,0.102,1.979,0.106
48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,[202],2015-01-15 00:00:00,2019-12-26 00:00:00,2.309,0.483,0.462,0.098,0.463,0.098,0.478,0.101,0.501,0.106,0.453,0.097,0.419,0.089
50,[805],2015-01-15 00:00:00,2019-12-26 00:00:00,0.703,0.045,0.14,0.009,0.141,0.009,0.139,0.009,0.14,0.009,0.138,0.009,0.145,0.009
51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
