Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-15,6.797,0.448
2015-02-15,6.818,0.45
2015-03-15,6.901,0.449
2015-04-15,7.003,0.457
2015-05-15,7.064,0.457
2015-06-15,7.004,0.449
2015-07-15,6.822,0.443
2015-08-15,6.62,0.435
2015-09-15,6.565,0.436
2015-10-15,6.682,0.445
2015-11-15,6.808,0.478
2015-12-15,6.858,0.429
2016-01-15,6.91,0.462
2016-02-15,6.96,0.458
2016-03-15,6.965,0.455
2016-04-15,6.983,0.456
2016-05-15,7.142,0.473
2016-06-15,6.479,0.421
2016-07-15,5.946,0.395
2016-08-15,5.921,0.406
2016-09-15,5.975,0.413
2016-10-15,6.267,0.431
2016-11-15,6.433,0.44
2016-12-15,6.54,0.445
2017-01-15,6.717,0.458
2017-02-15,6.837,0.462
2017-03-15,6.906,0.464
2017-04-15,6.981,0.47
2017-05-15,7.07,0.466
2017-06-15,6.888,0.452
2017-07-15,6.68,0.444
2017-08-15,6.474,0.445
2017-09-15,6.447,0.437
2017-10-15,6.594,0.453
2017-11-15,6.72,0.462
2017-12-15,6.779,0.459
2018-01-15,6.741,0.456
2018-02-15,6.729,0.44
2018-03-15,6.803,0.448
2018-04-15,6.891,0.446
2018-05-15,6.975,0.454
2018-06-15,6.902,0.448
2018-07-15,6.672,0.446
2018-08-15,6.351,0.433
2018-09-15,6.41,0.442
2018-10-15,6.529,0.433
2018-11-15,6.71,0.439
2018-12-15,6.919,0.456
2019-01-15,6.907,0.45
2019-02-15,7.005,0.454
2019-03-15,7.091,0.46
2019-04-15,7.208,0.472
2019-05-15,7.24,0.466
2019-06-15,7.029,0.454
2019-07-15,6.616,0.437
2019-08-15,6.447,0.433
2019-09-15,6.487,0.443
2019-10-15,6.459,0.443
2019-11-15,6.569,0.443
2019-12-15,6.647,0.452
