Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-15,1.932,0.111
2015-02-15,1.92,0.104
2015-03-15,1.895,0.103
2015-04-15,1.882,0.103
2015-05-15,1.957,0.107
2015-06-15,1.944,0.105
2015-07-15,1.943,0.106
2015-08-15,1.851,0.1
2015-09-15,1.845,0.101
2015-10-15,1.776,0.104
2015-11-15,1.758,0.099
2015-12-15,1.744,0.086
2016-01-15,1.73,0.086
2016-02-15,1.714,0.09
2016-03-15,1.695,0.101
2016-04-15,1.674,0.091
2016-05-15,1.767,0.097
2016-06-15,1.866,0.102
2016-07-15,1.882,0.103
2016-08-15,1.828,0.101
2016-09-15,1.773,0.097
2016-10-15,1.806,0.1
2016-11-15,1.839,0.1
2016-12-15,1.852,0.102
2017-01-15,1.819,0.102
2017-02-15,1.769,0.097
2017-03-15,1.799,0.099
2017-04-15,1.813,0.1
2017-05-15,1.9,0.105
2017-06-15,1.986,0.11
2017-07-15,1.946,0.107
2017-08-15,1.899,0.106
2017-09-15,1.921,0.106
2017-10-15,1.875,0.104
2017-11-15,1.866,0.105
2017-12-15,1.834,0.102
2018-01-15,1.802,0.102
2018-02-15,1.808,0.099
2018-03-15,1.774,0.1
2018-04-15,1.808,0.101
2018-05-15,1.83,0.104
2018-06-15,1.951,0.11
2018-07-15,1.995,0.113
2018-08-15,1.916,0.107
2018-09-15,1.922,0.11
2018-10-15,1.854,0.107
2018-11-15,1.898,0.108
2018-12-15,1.943,0.111
2019-01-15,1.909,0.108
2019-02-15,2.005,0.114
2019-03-15,1.969,0.112
2019-04-15,1.99,0.115
2019-05-15,2.078,0.119
2019-06-15,2.026,0.116
2019-07-15,1.842,0.106
2019-08-15,1.677,0.096
2019-09-15,1.687,0.097
2019-10-15,1.824,0.105
2019-11-15,1.889,0.109
2019-12-15,1.9,0.11
