Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-15,20.241,0.829
2015-02-15,20.076,0.82
2015-03-15,20.086,0.805
2015-04-15,20.16,0.816
2015-05-15,19.747,0.802
2015-06-15,19.162,0.779
2015-07-15,19.627,0.809
2015-08-15,19.901,0.807
2015-09-15,19.94,0.806
2015-10-15,19.593,0.786
2015-11-15,19.833,0.814
2015-12-15,19.694,0.771
2016-01-15,19.348,0.775
2016-02-15,19.066,0.763
2016-03-15,18.919,0.76
2016-04-15,18.916,0.76
2016-05-15,19.135,0.774
2016-06-15,19.36,0.78
2016-07-15,19.619,0.803
2016-08-15,19.536,0.821
2016-09-15,19.131,0.78
2016-10-15,19.74,0.803
2016-11-15,19.706,0.808
2016-12-15,19.845,0.812
2017-01-15,19.814,0.822
2017-02-15,19.797,0.82
2017-03-15,19.835,0.828
2017-04-15,19.819,0.835
2017-05-15,19.412,0.809
2017-06-15,19.535,0.816
2017-07-15,19.798,0.825
2017-08-15,19.893,0.837
2017-09-15,19.941,0.809
2017-10-15,19.958,0.808
2017-11-15,19.777,0.806
2017-12-15,19.654,0.801
2018-01-15,19.704,0.81
2018-02-15,19.512,0.811
2018-03-15,19.296,0.794
2018-04-15,19.028,0.787
2018-05-15,19.188,0.802
2018-06-15,19.185,0.805
2018-07-15,19.692,0.826
2018-08-15,19.789,0.814
2018-09-15,19.536,0.808
2018-10-15,19.59,0.805
2018-11-15,19.536,0.795
2018-12-15,19.735,0.813
2019-01-15,19.904,0.823
2019-02-15,19.732,0.806
2019-03-15,19.533,0.802
2019-04-15,19.515,0.819
2019-05-15,19.59,0.805
2019-06-15,19.62,0.823
2019-07-15,20.035,0.836
2019-08-15,20.005,0.834
2019-09-15,19.841,0.821
2019-10-15,19.707,0.815
2019-11-15,19.895,0.818
2019-12-15,19.827,0.82
