Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-15,6.959,0.545
2015-02-15,7.01,0.549
2015-03-15,7.109,0.566
2015-04-15,7.129,0.563
2015-05-15,7.203,0.577
2015-06-15,7.269,0.585
2015-07-15,7.253,0.587
2015-08-15,7.225,0.584
2015-09-15,7.256,0.59
2015-10-15,7.179,0.587
2015-11-15,7.097,0.6
2015-12-15,7.032,0.56
2016-01-15,6.908,0.582
2016-02-15,6.839,0.621
2016-03-15,6.774,0.558
2016-04-15,6.83,0.553
2016-05-15,6.877,0.563
2016-06-15,6.829,0.563
2016-07-15,6.764,0.564
2016-08-15,6.805,0.577
2016-09-15,6.804,0.577
2016-10-15,7.06,0.592
2016-11-15,7.057,0.602
2016-12-15,6.994,0.584
2017-01-15,7.117,0.599
2017-02-15,7.234,0.605
2017-03-15,7.319,0.613
2017-04-15,7.392,0.625
2017-05-15,7.468,0.622
2017-06-15,7.584,0.654
2017-07-15,7.559,0.668
2017-08-15,7.428,0.674
2017-09-15,7.577,0.678
2017-10-15,7.626,0.689
2017-11-15,7.658,0.698
2017-12-15,7.577,0.695
2018-01-15,7.49,0.688
2018-02-15,7.523,0.677
2018-03-15,7.459,0.671
2018-04-15,7.481,0.66
2018-05-15,7.546,0.658
2018-06-15,7.865,0.717
2018-07-15,7.888,0.724
2018-08-15,7.579,0.705
2018-09-15,7.742,0.732
2018-10-15,7.917,0.751
2018-11-15,7.873,0.732
2018-12-15,7.906,0.749
2019-01-15,7.868,0.751
2019-02-15,7.846,0.748
2019-03-15,7.845,0.743
2019-04-15,8.046,0.772
2019-05-15,8.27,0.797
2019-06-15,8.554,0.844
2019-07-15,8.456,0.866
2019-08-15,8.39,0.87
2019-09-15,8.458,0.872
2019-10-15,8.635,0.891
2019-11-15,8.578,0.871
2019-12-15,8.586,0.866
