Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-15,30.688,1.162
2015-02-15,30.713,1.189
2015-03-15,30.46,1.054
2015-04-15,30.185,1.042
2015-05-15,29.954,1.167
2015-06-15,29.997,1.109
2015-07-15,29.879,1.104
2015-08-15,29.566,1.091
2015-09-15,29.238,1.078
2015-10-15,28.728,1.057
2015-11-15,27.933,1.061
2015-12-15,27.584,0.986
2016-01-15,27.314,0.983
2016-02-15,26.969,0.989
2016-03-15,26.555,0.912
2016-04-15,26.238,0.996
2016-05-15,26.472,0.976
2016-06-15,26.755,0.989
2016-07-15,27.126,0.99
2016-08-15,26.575,0.979
2016-09-15,25.963,0.962
2016-10-15,26.366,0.965
2016-11-15,26.541,0.985
2016-12-15,26.927,0.987
2017-01-15,27.47,1.015
2017-02-15,27.753,1.021
2017-03-15,27.759,1.007
2017-04-15,28.052,1.043
2017-05-15,28.749,1.062
2017-06-15,28.861,1.073
2017-07-15,28.832,1.066
2017-08-15,28.561,1.074
2017-09-15,28.614,1.052
2017-10-15,28.932,1.066
2017-11-15,29.083,1.069
2017-12-15,29.089,1.07
2018-01-15,29.089,1.069
2018-02-15,29.015,1.063
2018-03-15,28.38,1.045
2018-04-15,28.29,1.036
2018-05-15,29.578,1.083
2018-06-15,29.814,1.106
2018-07-15,29.855,1.102
2018-08-15,29.817,1.102
2018-09-15,29.278,1.087
2018-10-15,28.977,1.06
2018-11-15,29.438,1.078
2018-12-15,29.716,1.098
2019-01-15,29.533,1.07
2019-02-15,29.354,1.08
2019-03-15,29.116,1.021
2019-04-15,29.495,1.091
2019-05-15,29.351,1.059
2019-06-15,29.183,1.059
2019-07-15,29.053,1.057
2019-08-15,28.68,1.04
2019-09-15,28.648,1.049
2019-10-15,28.805,1.057
2019-11-15,29.361,1.058
2019-12-15,29.909,1.083
