Date,Discharge (Gt/yr),Error (Gt/yr)
2015-01-15,1.72,0.081
2015-02-15,1.739,0.082
2015-03-15,1.736,0.082
2015-04-15,1.762,0.083
2015-05-15,1.82,0.086
2015-06-15,1.84,0.087
2015-07-15,1.704,0.082
2015-08-15,1.653,0.078
2015-09-15,1.636,0.077
2015-10-15,1.678,0.079
2015-11-15,1.675,0.081
2015-12-15,1.671,0.079
2016-01-15,1.712,0.082
2016-02-15,1.746,0.084
2016-03-15,1.751,0.085
2016-04-15,1.784,0.086
2016-05-15,1.833,0.088
2016-06-15,1.746,0.083
2016-07-15,1.584,0.076
2016-08-15,1.544,0.076
2016-09-15,1.595,0.076
2016-10-15,1.628,0.078
2016-11-15,1.693,0.082
2016-12-15,1.713,0.082
2017-01-15,1.723,0.084
2017-02-15,1.795,0.086
2017-03-15,1.792,0.086
2017-04-15,1.786,0.087
2017-05-15,1.862,0.09
2017-06-15,1.835,0.088
2017-07-15,1.734,0.083
2017-08-15,1.623,0.079
2017-09-15,1.614,0.077
2017-10-15,1.636,0.079
2017-11-15,1.62,0.079
2017-12-15,1.673,0.081
2018-01-15,1.73,0.084
2018-02-15,1.754,0.086
2018-03-15,1.732,0.084
2018-04-15,1.755,0.085
2018-05-15,1.809,0.088
2018-06-15,1.805,0.087
2018-07-15,1.68,0.081
2018-08-15,1.444,0.069
2018-09-15,1.518,0.074
2018-10-15,1.601,0.077
2018-11-15,1.676,0.08
2018-12-15,1.721,0.082
2019-01-15,1.751,0.083
2019-02-15,1.756,0.083
2019-03-15,1.805,0.086
2019-04-15,1.853,0.089
2019-05-15,1.912,0.09
2019-06-15,1.808,0.087
2019-07-15,1.538,0.073
2019-08-15,1.475,0.071
2019-09-15,1.561,0.074
2019-10-15,1.666,0.08
2019-11-15,1.715,0.082
2019-12-15,1.722,0.082
